"LDTrt","freqfilms","Nlett","OLD20","AoA","IMA"
703.7,7.98,4,1,8.5,4.1
660.7,25.86,4,1.65,7.8,5
586.6,43.71,3,1,4.5,5.8
670.1,40.39,6,1.2,5,5.6
687.2,5.36,5,1.25,5.3,6.6
731.3,4.83,6,1.55,7.1,5
711.2,1.34,7,1.65,6.8,6.7
599.1,389.49,4,1.35,5.6,4.6
649.9,61.82,5,1.05,7,5.2
607.5,41.29,6,1.5,8.2,6
642.2,71.8,4,1.15,5.7,5.3
682.8,2.87,6,1.25,9,5.4
776.5,1.38,6,1.55,9.9,5.4
631.8,161.8,5,1.05,8.5,4.5
655.1,41.14,6,1.25,5.7,4.9
614,51.5,5,1.6,6,3.7
585.8,3.58,4,1.5,9.2,3.3
625.1,4.9,5,1.5,5.8,6.8
704.4,5.66,5,1.3,7.5,6.4
704.6,18.73,8,2.5,12.4,2.6
665,18.15,7,1.85,9.1,2.7
700.5,2.62,6,1.7,9.9,4.7
686.2,13.61,4,1.5,9.4,3.3
617.8,28.72,5,1.7,7.3,6.6
776.6,3.16,6,1.3,7.7,4.4
695.3,4.12,6,1.7,7,6.2
611.7,22.18,5,1.7,6.2,6.4
599.3,3.31,5,1.75,5,6.7
682.1,3.52,5,1.65,9,5.7
617.1,6.15,5,1.7,7.6,4.5
641.7,18.79,3,1.15,4.8,4.8
868.1,1.16,6,1.6,12.7,2.2
672.8,81.77,5,1.4,9.4,4.7
699.6,1.06,6,1.55,11.7,4.3
648,43.51,5,1.15,8.4,3.1
779.1,0.66,4,1.45,7.7,4.7
624.2,193.37,6,1.8,6.3,2.4
748.6,1.35,7,1.95,11,2.8
572,29.1,5,1.8,5.8,6.6
712.8,1.96,6,1.25,11.1,5
740.4,0.64,6,1.6,10,3.6
697.5,5.25,6,1.65,6.5,6.1
665,109.4,3,1.4,7.1,3.8
727.7,3.2,6,1.7,8.5,5.4
681.7,7.23,4,1.4,10,3.6
733.8,2.83,6,1.75,11.7,3.9
651.2,1.87,4,1.7,5.2,6.3
588.4,14.11,4,1.65,8.4,5.9
611.3,4.38,6,1.65,5.2,6.5
632.3,11.32,4,1.45,6.2,4.4
662.8,4.74,6,1.7,10.2,4.9
710.4,4.74,5,1.7,10.8,2.8
735.4,5.99,4,1,9.5,2.8
702,1.32,4,1.5,9.8,5.8
603.3,5.69,5,1.9,10.1,3.6
741,5.28,5,1.85,6.2,6.4
770.1,1.41,4,1.8,9.5,5.1
695.7,13.54,5,1.35,10.7,5.4
691.1,95.56,4,1,5.2,6.3
587.5,4658.59,4,1.15,4.9,1.7
577.4,70.4,5,1.4,5.2,5.8
593.4,36.26,4,1.2,6,4.3
746.2,0.24,5,1.4,9.3,6
580,25220.96,2,1,4.8,1.3
655.5,5.74,2,1.1,5.4,6.1
562.3,13.27,4,1.5,4.1,6.7
655.5,6055.71,3,1.05,4.6,2
638.8,143.72,3,1.65,8.2,2.7
682.7,12.77,5,1.55,10.5,3.5
663.6,12.21,5,1.9,10.3,4.3
578.7,1009.01,4,1.55,3.6,5
615.1,91.8,6,1.8,7.3,5.6
727.8,0.42,5,1.8,11.4,2.9
597.8,852.91,4,1.65,7.3,2.9
701.9,21.96,5,1.45,10.4,2.5
637.2,8.79,5,1.8,6.8,6.3
754.8,0.07,5,1.9,12.8,4.4
640.5,1616.46,4,1,4.7,2.8
623.1,20.36,6,1.85,7.2,6.4
607.8,2162.97,3,1,4.4,2.2
609.4,118.29,3,1.7,4.4,4.6
702,16.66,2,1,7.8,3.1
779.7,0.49,5,1.8,14.9,2.7
651.1,39.83,5,1.8,3.7,6.8
685.8,1.81,4,1.7,10.8,4.4
614.1,35.47,3,1,9.2,3.1
576.8,612.51,4,1.55,6.8,1.7
580,424.79,5,1.4,4.3,2.3
642,223.42,4,1.25,8,1.6
597.9,100.34,3,1,4.8,5.9
728.6,14.37,4,1.35,8.8,3.4
682.6,4.33,6,1.95,11.2,4.8
629.9,50.7,6,1.6,7.4,3.4
607.6,33.85,6,1.15,4.7,6.5
634.2,18.12,4,1.3,8.4,3
790.5,1.83,7,1.15,11.7,4
624.7,135.34,5,1.05,8.8,3
557.1,53.97,4,1.7,5.1,4.1
606.1,21.81,5,1.75,5,4.9
615.3,13.48,5,1.55,9,3.2
631.2,3.69,4,1.65,8.2,6.7
627.9,49.85,6,1.55,10.9,5.1
578.4,245.41,5,1.75,6.8,3.4
632.8,94.77,6,1.75,5.7,4.6
612.4,152.05,5,1.75,6.2,4
754.5,0.89,6,1.95,8.7,5
571.3,4394.7,2,1,5.1,1.4
641.5,369.32,2,1.45,9.8,1.5
613.8,6.17,4,1.7,9,4.7
685,1.55,4,1.35,8.7,6.1
619.2,2.49,3,1.55,9.4,4.6
780.8,3,4,1.4,15.1,1.9
573.1,163.06,3,1.25,5.2,3.4
569.8,290.61,3,1.45,3.6,6.6
745.6,1.39,4,1.9,10.5,5.3
612.4,4520.53,4,1.55,4.4,2.5
617.7,9398.98,2,1.25,5.5,1.3
763.9,6.5,5,1.65,6.5,5.9
665.9,456.8,5,1.35,5.6,2
625,22823.25,3,1.45,5.3,2.7
589.1,12909.08,2,1.05,4,1.4
618.6,1915.56,4,1.85,5.8,1.8
590.1,295.35,3,1.25,5.9,2
721.8,5.23,2,1,8,2.9
678.1,1.79,5,1.55,7.2,4.6
578.1,28.94,3,1.05,12.8,6.2
618.8,124.33,4,1.35,7,3.9
760.1,1.51,4,1.2,10.5,3
642.4,37.52,6,1.8,7.5,2.7
724.7,5.68,6,1.25,10.9,4.1
588.7,127.49,4,1.75,4.2,4.7
681.1,2735.96,5,1.4,4.9,2.5
579,3166.2,4,1.1,5.8,2.2
650,13.27,3,1,9.8,3.9
709.2,0.25,4,1.65,6.7,6.1
711.6,7.5,5,1.5,6.9,4.6
685.1,1.44,4,1.3,10.9,4.6
682.3,1.47,5,1.6,9.5,4.7
647.5,163.47,5,1.35,5.7,3.7
667.7,1.49,5,1.75,8.4,6
596.5,5.59,3,1.25,11.6,5.1
599.3,8.3,3,1.75,5,6.3
792.3,1.23,7,1.7,12.1,2.4
793.7,1.94,6,1.55,11.1,3.3
584.5,806.57,5,1.8,5.5,6.7
754.5,2.49,6,1.45,9.8,3.3
686.2,3.61,5,1.3,8.5,5
569.7,33.65,3,1.4,7.2,4.7
624.2,178.12,5,1.2,5,6.1
586.6,144.49,4,1.45,5.8,6
564.9,237.8,3,1.3,4.9,6.6
639.5,13.24,7,1.65,4.8,6.8
712.7,1.34,6,1.6,4.5,6.5
683,5.36,6,1.7,11.3,2.7
663.8,2.67,5,1.7,11.2,3.9
733.9,68.4,5,1.25,8,5.1
713.2,52.57,4,1.25,8.1,3
668.6,24.23,6,1.8,6.4,4.2
778.2,3.44,5,1.4,9.3,6.2
656.8,51.83,3,1,5.7,6.2
746,58.71,4,1,7.4,4.5
628,627.59,5,1.25,4,6.3
617,195.1,4,1.55,5.7,5.9
624.6,493.24,4,1.1,5.6,5.2
702.6,4.25,6,1.7,9.1,5.6
589.1,222.44,3,1,5.2,3.1
715.8,1.5,5,1.8,10.6,5.1
737.8,4.07,5,1.8,13.1,2.6
751.7,2.53,4,1.9,14.1,2.8
599.7,15.97,4,1.2,8.4,3
745.9,2.32,5,1.75,9.4,3
619.8,12.61,6,1.75,6.2,6.6
658.1,4.01,5,1.7,10,4.4
776.3,2.31,6,1.7,5.5,6.1
598.3,7.78,5,1.65,8.6,5.5
760.2,0.98,7,1.75,11.7,3.6
600.9,8.21,6,1.75,6.2,6.7
800.3,0.49,6,2.05,10.4,3
600.7,25.2,5,1.7,4.1,6.8
631,19.81,6,1.8,7.3,6.2
669.8,4.66,4,1.45,8.9,3.4
676.5,20,6,1.5,7.9,4.4
664.5,5.61,4,1.55,8.3,4.3
678.1,3.07,6,1.95,11.3,3.5
613.4,9.11,5,1.75,6.7,6.8
651.2,4.07,4,1.75,12.4,2.8
593.2,54.06,3,1.1,8.9,2.7
602.3,22.27,4,1.2,8.4,5.1
618.3,6.06,4,1.55,6.7,6.1
646.6,13.42,5,1.25,7.5,5.4
600.7,899.25,4,1,5.8,2.2
709.1,1.3,4,1.85,13.1,2.9
561.3,112.45,4,1.4,6.6,3.4
637,8.05,6,1.6,7.2,4.2
735.4,0.74,5,1.35,10.6,3.8
609,24.18,4,1.8,6.1,6.7
607.7,121.75,5,1.35,6.5,3.6
700.6,3.29,5,1.3,9.6,3.8
615.3,89.2,5,1.1,6,3.5
594.7,211.22,4,1.1,4.9,4
649.5,6.64,5,1.5,10,5.1
576.9,230.79,3,1.05,6.2,4.5
664.2,12.5,6,1.65,7.5,6.2
648.9,7.92,5,1.6,7.5,6.4
788.8,1.17,6,1.75,11.7,2.4
