"word","borrowing","phonology","phonlength","AoA","AoA_obj","subtlexzipf","conc","cat","source","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length","age_oldest","age_youngest","age_oldest_num","age_youngest_num","age","effect","ids.code","modern.english","middle.english","old.english","old.english.length"
"blacksmith",5,"bl{ksmIT",8,"9.84",2,"3.36","4.38","Noun","None","English",NA,3.45098039215686,1.79731245171322e-05,8,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-600","smith","smith","smiÎ¸",4
"name",5,"n1m",3,"3.68",2,"5.61","3.50","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","18-280","name","name","nama",4
"ankle",5,"{NkP",4,"4.89",2,"3.94","4.81","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-371","ankle","ancle","ancleÌ„ow(e)",8
"ring",5,"rIN",3,"4.53",2,"4.92","4.81","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","6-730","ring","ring","hring",5
"wax",5,"w{ks",4,"6.00",2,"3.87","4.97","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-821","beeswax","wax-e","",NA
"wolf",5,"wUlf",4,"4.50",2,"4.17","4.79","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-710","wolf","wolf","wulf",4
"ewe",5,"ju",2,"9.31",6,"3.41","#N/A","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-280","ewe","eue","eÌ„owu",4
"wind",5,"wInd",4,"3.89",2,"5.00","3.93","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-720","wind","wind","wind",4
"midge",5,"mI_",3,"#N/A",14,"3.20","#N/A","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-831","sandfly","migÌŒgÌŒe","gnÃ_t",4
"mother",5,"mVD@R",5,"2.63",2,"5.29","4.60","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-360","mother","moder","moÌ„dor",5
"water",5,"w$t@R",5,"2.37",2,"5.53","5.00","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-310","water","water","wÃ_ter",5
"guest",5,"gEst",4,"6.21",2,"4.58","3.83","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","19-560","guest","gest","giest",5
"hollow",5,"hQl5",4,"7.44",2,"3.71","3.61","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-461","hollow out","holwen","holian",6
"tooth",5,"tuT",3,"3.61",2,"4.09","4.89","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-270","tooth","toth","toÌ„Î¸",3
"rye",5,"r2",2,"9.26",2,"3.47","4.74","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-450","rye","rie","ryge",4
"star",5,"st#R",4,"3.89",2,"5.04","4.69","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-540","star","sterre","steorra",7
"knot",5,"nQt",3,"6.05",2,"3.74","4.87","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-192","knot","knotte","cnotta",6
"snow",5,"sn5",3,"4.11",2,"4.79","4.85","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-760","snow","snou","snaÌ„w",4
"summer",5,"sVm@R",5,"4.33",2,"5.00","3.64","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","14-760","summer","somer","sumor",5
"fir",5,"f3R",3,"8.75",6,"3.20","4.58","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-650","fir","firre","sÃ_ppe",5
"father",5,"f#D@R",5,"4.11",2,"5.26","4.52","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-350","father","fader","fÃ_der",5
"harvest",5,"h#vIst",6,"7.40",2,"4.03","4.00","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-410","crop","fruites","wÃ_stm",5
"fish",5,"fIS",3,"4.05",2,"5.19","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-650","fish","fish","fisc",4
"foam",5,"f5m",3,"6.15",4,"3.84","4.85","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-324","foam","fom","faÌ„m",3
"month",5,"mVnT",4,"5.79",4,"5.08","4.20","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","14-710","month","month","moÌ„naÎ¸",5
"soul",5,"s5l",3,"6.17",2,"4.53","1.86","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","16-110","soul","soul-e","saÌ„wel",5
"eyebrow",5,"2br6",4,"5.50",2,"3.23","4.85","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-212","eyebrow","eie-brou","ofarbruÌ„(wa)",9
"son",5,"sVn",3,"3.78",2,"5.17","4.14","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-410","son","sone","sunu",4
"floor",5,"fl$R",4,"4.44",2,"5.04","4.80","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","7-260","floor","flor","floÌ„r",4
"goat",5,"g5t",3,"5.21",2,"4.12","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-360","goat","got","gaÌ„t",3
"hare",5,"h8R",3,"6.78",4,"3.98","4.88","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","","","","",NA
"man",5,"m{n",3,"3.11",2,"5.86","4.79","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-210","man","man","wer",3
"harm",5,"h#m",3,"5.00",2,"4.35","2.62","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","11-280","harm","harmen","hearmian",8
"beard",5,"b7d",3,"4.84",4,"3.98","4.96","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-142","beard","berd","beard",5
"feather",5,"fED@R",5,"4.67",2,"3.88","4.90","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-393","feather","fether","feÎ¸er",5
"twins",5,"twInz",5,"6.06",2,"4.08","4.57","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-458","twins","twin","getwinnas",9
"edge",5,"E_",2,"6.17",2,"4.80","4.24","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-353","edge","egÌŒgÌŒe","ecg",3
"mouth",5,"m6D",3,"3.58",2,"4.78","4.74","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-240","mouth","mouth","muÌ„Î¸",3
"trough",5,"trQf",4,"8.41",6,"3.32","4.17","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","7-480","trough","trough","Î¸ruÌ„h",4
"oven",5,"VvH",3,"5.67",2,"4.54","4.97","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-250","oven","oven","ofen",4
"shadow",5,"S{d5",4,"5.00",2,"4.49","4.54","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-630","shade","shade","scadu",5
"fart",5,"f#t",3,"5.78",NA,"3.39","4.18","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-640","break wind","ferten","feortan",7
"tongs",5,"tQNz",4,"7.78",6,"3.27","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-391","tongs","tonges","",NA
"bottom",5,"bQt@m",5,"5.28",2,"5.05","4.25","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-340","bottom","botme","botm",4
"wedding",5,"wEdIN",5,"6.00",4,"4.95","3.92","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-340","marriage","wedding-e","weddung",7
"sand",5,"s{nd",4,"4.63",2,"4.51","5.00","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-215","sand","sand","sand",4
"head",5,"hEd",3,"3.42",2,"5.61","4.75","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-200","head","hed","heÌ„afod",6
"hen",5,"hEn",3,"6.39",2,"3.96","4.90","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-540","hen","hen","hÃ_n",3
"ox",5,"Qks",3,"4.72",4,"3.39","4.86","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","3-220","ox","oxe","oxa (steÌ„or)",8
"freeman",5,"frim@n",6,"11.38",4,"3.49","3.32","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","19-440","freeman","fre","freÌ„omann",8
"mead",5,"mid",3,"11.38",14,"3.35","4.22","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-910","mead","med-e","medu",4
"meal",5,"mil",3,"4.74",2,"4.53","4.62","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-410","meal","mel","mÃ_Ì„l",3
"shade",5,"S1d",3,"6.37",2,"3.98","3.38","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-630","shade","shade","scadu",5
"corn",5,"k$n",3,"4.61",2,"3.94","4.96","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-470","maize","","corn",4
"lightning",5,"l2tnIN",6,"4.76",4,"4.00","4.59","Noun","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-550","lightning","leit","liÌ„get(u)",6
"clay",5,"kl1",3,"5.32",2,"4.18","4.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-730","clay","clei","clÃ_Ì„g",4
"widow",5,"wId5",4,"9.00",4,"3.78","4.33","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-760","widow","widwe","widuwe",6
"horn",5,"h$n",3,"4.84",2,"4.10","5.00","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-170","horn","horn","horn",4
"birch",5,"b3J",3,"10.84",4,"3.43","4.12","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-630","birch","birch-e","beorc",5
"seed",5,"sid",3,"4.72",2,"4.24","4.71","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-311","seed","sed","sÃ_Ì„d",3
"hill",5,"hIl",3,"3.47",2,"4.71","4.93","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","1-220","mountain","mount","beorg",5
"arse",5,"#s",2,"#N/A",NA,"4.04","#N/A","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-464","buttocks","buttokes","broÌ„c",4
"grave",5,"gr#v",4,"7.06",2,"4.20","4.56","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-790","grave","grave","byrgen",6
"milk",5,"mIlk",4,"3.37",2,"4.73","4.92","Noun","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-870","milk","milken","melcan",6
"wheel",5,"wil",3,"4.40",2,"4.51","4.86","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","10-760","wheel","whel-e","hweÌ„ol",5
"sweets",5,"swits",5,"4.53",2,"3.94","4.83","Noun","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","","","","",NA
"year",5,"j7R",3,"5.24",2,"5.92","3.25","Noun","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","14-730","year","yer","geÌ„ar",4
"dough",5,"d5",2,"6.63",4,"4.05","4.79","Noun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-530","dough","dough","daÌ„g",3
"last",5,"l#st",4,"4.35",2,"5.97","3.04","Number","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-350","last","last-e","lÃ_t(e)mest",8
"fifteen",5,"fIftin",6,"6.10",2,"3.26","3.37","Number","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-103","fifteen","fif-tene","fiÌ„ftiÌ„ene",8
"six",5,"sIks",4,"5.25",2,"5.47","3.43","Number","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-060","six","six","siex",4
"seven",5,"sEvH",4,"5.36",2,"5.22","3.72","Number","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-070","seven","seven","seofon",6
"two",5,"tu",2,"4.24",2,"6.18","4.18","Number","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-020","two","two","tweÌ„gen",6
"first",5,"f3st",4,"4.39",2,"6.17","2.76","Number","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-340","first","first","fyrst",5
"five",5,"f2v",3,"4.51",2,"5.65","3.87","Number","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-050","five","five","fiÌ„f",3
"nine",5,"n2n",3,"3.23",2,"5.07","4.04","Number","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-090","nine","nin","nigon",5
"eight",5,"1t",2,"5.36",2,"5.22","4.04","Number","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-080","eight","eighte","eahta",5
"three",5,"Tri",3,"3.69",2,"5.94","3.62","Number","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-030","three","thre","Î¸riÌ„e",4
"third",5,"T3d",3,"4.58",2,"5.17","3.44","Number","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-420","third","thrid","Î¸ridda",6
"four",5,"f$R",3,"4.93",2,"5.67","3.37","Number","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-040","four","four","feÌ„ower",6
"ten",5,"tEn",3,"3.58",NA,"5.39","3.39","Number","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-100","ten","ten","tiÌ„en",4
"eleven",5,"IlEvH",5,"5.78",2,"3.71","3.93","Number","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-101","eleven","elleven","endleofan",9
"twenty",5,"twEntI",6,"#N/A",2,"3.72","3.67","Number","None","English",NA,3.45098039215686,0.00953247551173794,6,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","13-104","twenty","twenti","tweÌ„ntig",7
"with",5,"wID",3,"4.44",2,"6.75","2.00","Preposition","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","","","","",NA
"in",5,"In",2,"3.69",2,"7.17","3.00","Preposition","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-050","in","","in",2
"at",5,"{t",2,"4.04",2,"6.69","2.07","Preposition","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","","","","",NA
"after",5,"#ft@R",5,"6.00",2,"5.94","2.12","Preposition","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-010","after","after","Ã_fter",5
"I",5,"2",1,"2.79",2,"7.33","3.93","Pronoun","None","English",NA,3.45098039215686,0.0276693735464591,1,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-910","I","ich","ic",2
"he",5,"hi",2,"3.81",2,"6.82","3.93","Pronoun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-930","he","he","heÌ„",2
"it",5,"It",2,"4.40",2,"7.33","2.81","Pronoun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-930","it","hit","hit",3
"we",5,"wi",2,"5.04",2,"7.00","3.08","Pronoun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-940","we","we","weÌ„",2
"she",5,"Si",2,"3.57",2,"6.42","3.36","Pronoun","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","2-930","she","she","heÌ„o",3
"bend",5,"bEnd",4,"5.56",2,"4.17","3.88","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-140","bend","bouen","bendan",6
"work",5,"w3k",3,"5.86",2,"5.99","3.48","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-120","work","werken","weorc",5
"do",5,"du",2,"3.60",2,"6.85","2.46","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-110","do","don","doÌ„n",3
"eat",5,"it",2,"2.78",2,"5.21","4.44","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-110","eat","eten","etan",4
"rake",5,"r1k",3,"5.32",2,"3.40","4.84","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-270","rake","rake","raca",4
"lie",5,"l2",2,"3.75",4,"4.77","3.11","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","16-670","lie","lien","leÌ„ogan",6
"throw",5,"Tr5",3,"4.14",2,"4.88","4.04","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","10-250","throw","throuen","weorpan",7
"carve",5,"k#v",3,"6.35",2,"3.57","3.69","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-810","carve","kerven","ceorfan",7
"fathom",5,"f{D@m",5,"11.44",8,"2.93","2.07","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-541","span","spanne","handbred",8
"sit",5,"sIt",3,"3.47",2,"5.14","4.80","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-130","sit","sitten","sittan",6
"sew",5,"s5",2,"6.05",NA,"3.36","3.93","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","6-350","sew","seuen","seÌ„owan",6
"say",5,"s1",2,"3.42",2,"6.13","2.58","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","18-220","say","seien","cweÎ¸an",6
"ask",5,"#sk",3,"2.89",2,"5.41","2.52","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","18-310","ask","asken","frignan",7
"thresh",5,"TrES",4,"14.00",6,"1.90","#N/A","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","8-340","thresh","threshen","Î¸erscan",7
"fall",5,"f$l",3,"4.71",2,"5.01","4.04","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","10-230","fall","fallen","feallan",7
"bind",5,"b2nd",4,"10.24",6,"3.48","3.40","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-160","tie","binden","bindan",6
"fold",5,"f5ld",4,"4.95",4,"4.04","4.13","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","9-150","fold","folden","fealdan",7
"find",5,"f2nd",4,"5.78",2,"5.89","2.63","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","11-320","find","finden","findan",6
"breathe",5,"briD",4,"4.11",2,"4.35","4.07","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","4-510","breathe","brethen","oroÎ¸",4
"stand",5,"st{nd",5,"4.39",2,"5.25","4.16","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","12-150","stand","stonden","standan",7
"chew",5,"Ju",2,"4.05",2,"3.83","3.93","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-180","chew","cheuen","ceÌ„owan",6
"be",5,"bi",2,"5.11",2,"6.80","1.85","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","","","","",NA
"grind",5,"gr2nd",5,"8.37",2,"3.63","3.97","Verb","None","English",NA,3.45098039215686,0.0953247551173794,5,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","5-560","crush","grinden","grindan",7
"comb",5,"k5m",3,"5.50",2,"3.59","5.00","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","6-910","comb","comb","camb",4
"come",5,"kVm",3,"3.32",2,"6.26","2.72","Verb","None","English",NA,3.45098039215686,0.390831495981255,3,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","10-480","come","comen","cuman",5
"freeze",5,"friz",4,"4.89",2,"4.30","3.96","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","","","","",NA
"know",5,"n5",2,"4.50",2,"6.43","1.68","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","17-170","know","witen","witan",5
"think",5,"TINk",4,"4.75",2,"6.51","2.41","Verb","None","English",NA,3.45098039215686,0.32410416739909,4,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","17-140","think","wenen","weÌ„nan",5
"weigh",5,"w1",2,"6.62",2,"4.02","3.79","Verb","None","English",NA,3.45098039215686,0.142987132676069,2,"Proto-Indo-European","Proto-Indo-European","6000","6000","Proto-Indo-European","","11-920","weigh","weien","wegan",5
