Name	Pinyin	English	Source	LEN	VAR	IMG	FAM	VC	FREQ	NA	H value	CA	AoA_r	AoA_o	error	RT_harm
狮子	shi1 zi3	lion	1	2	2.54	3.88	4.33	3.49	2.14	0.9	0.55	1	3.13	3.78	0.06	1012
蜥蜴	xi1 yi4	lizard	1	2	2.9	3.45	3.42	2.14	1.76	0.7	1.02	0.7	4.88	10.53	0.06	1410
虾	xia1	lobster	5	1	2.55	4.06	4.61	2.59	2.89	0.68	1.34	0.93	3.53	4.69	0.03	1247
锁	suo3	lock	1	1	2.74	4.46	4.97	2.11	3.53	0.9	0.47	1	2.63	5.68	0	855
藕	ou3	lotus	5	1	3.24	4.31	4.58	3.27	2.89	0.73	1.06	0.93	4.19	8.67	0	944
机关枪	ji1 guan1 qiang1	machine gun	2	3	2.88	3.74	3.78	4.27	1.77	0.45	2.21	0.78	3.71	9.16	0.06	1160
放大镜	fang4 da4 jing4	magnifier	2	3	2.88	4.72	4.47	2.19	2.37	0.98	0.17	0.98	3.94	7.17	0.06	1152
螳螂	tang2 lang2	mantis	5	2	2.74	4.1	4.39	3.95	1.86	0.65	0.95	0.65	4.13	10.27	0.06	1092
地图	di4 tu2	map	3	2	3.05	3.57	4.28	4.24	3.26	0.88	0.68	0.95	3.35	7.8	0.03	1017
海军	hai3 jun1	marine	2	2	3.31	3.97	4.26	3.24	2.06	0.53	2.08	0.75	3.63	7.09	0.17	1052
火柴	huo3 chai2	match	4	2	2.5	3.8	4.69	1.92	2.26	0.9	0.51	0.95	2.44	10.47	0	960
西瓜	xi1 gua1	melon	1	2	2.48	2.86	4.56	2.22	2.91	0.88	0.47	0.88	2.35	2.79	0	972
美人鱼	mei3 ren2 yu2	mermaid	2	3	2.57	3.42	4.11	4.16	1.83	0.93	0.34	0.95	3.94	4.72	0	1186
话筒	hua4 tong3	microphone	2	2	2.67	4.14	4.83	3.11	3.17	0.48	1.42	0.98	4.82	5.74	0	963
显微镜	xian3 wei1 jing4	microscope	1	3	2.67	3.89	4.22	4	2.2	0.88	0.52	0.88	5.63	10.86	0.14	1431
镜子	jing4 zi3	mirror	4	2	3.14	3.56	4.44	2.54	3.94	0.78	0.95	0.93	1.81	3.18	0.03	994
手套	shou3 tao4	mitten	1	2	3.22	3.53	4.72	2.03	3.17	0.9	0.47	1	2.41	3.73	0	829
钞票	chao1 piao4	money	5	2	3.19	3.44	4.33	4.61	4.29	0.35	2.4	0.93	3.88	4.56	0.03	955
和尚	he2 shang4	monk	5	2	2.93	3.47	4.08	3.19	1.94	0.43	3.02	0.78	3.44	5.73	0.06	1097
猴子	hou2 zi3	monkey	1	2	2.93	3.94	4.56	3.03	2.37	0.8	1.03	1	3.41	2.85	0	898
月亮	yue4 liang4	moon	1	2	2.95	4.11	4.75	1.03	3.49	0.63	1.69	1	1.81	2.69	0	743
牵牛花	qian1 niu2 hua1	morning glory	5	3	2.6	3.2	3.86	4.56	1.84	0.55	1.95	0.68	3.06	10.65	0.14	1521
蚊子	wen2 zi3	mosquito	5	2	3.1	3.5	4.22	2.68	2.71	0.6	1.56	0.63	2	10.33	0.06	1395
摩托车	mo2 tuo1 che1	motorcycle	1	3	3.02	4.03	4.81	4.46	2.83	0.7	0.88	1	4.5	3.67	0	867
山	shan1	mountain	1	1	3.45	3.23	4.25	2.19	3.4	0.4	2.31	1	1.94	3.42	0	972
老鼠	lao3 shu3	mouse	1	2	2.79	4.61	4.64	3.05	2.5	0.9	0.62	1	2.29	2.85	0	798
鼠标	shu3 biao1	mouse	4	2	2.93	3.75	4.78	2.62	4.31	0.98	0	0.98	6.56	6.94	0	1040
嘴唇	zui3 chun2	mouth	1	2	2.9	4.47	4.81	1.43	3.71	0.43	1.91	0.98	2.19	3.18	0	755
蘑菇	mo2 gu1	mushroom	1	2	3.19	4.33	4.58	2.86	3.14	0.98	0.17	1	3.41	2.79	0	834
胡子	hu2 zi3	mustache	3	2	2.81	2.97	3.56	3.76	3.15	0.5	1.67	0.58	2.69	8.92	0.14	1374
钉子	ding1 zi3	nail	1	2	2.9	4.6	4.58	1.46	2.66	0.75	1.12	0.9	2.63	7.44	0.03	877
项链	xiang4 lian4	necklace	1	2	3.33	3.69	4.39	1.73	2.94	0.83	1.04	0.9	3.81	5.74	0	860
针	zhen1	needle	1	1	3.32	4.39	4.22	1.49	2.74	0.8	0.93	0.88	2.44	7.44	0.06	933
鱼网	yu2 wang3	net	1	2	2.76	2.29	4.64	2.89	1.89	0.15	3.29	0.75	4	6.69	0.06	979
鼻子	bi2 zi3	nose	1	2	2.74	4.03	4.64	1.62	3.89	0.85	0.55	0.98	1.69	3.74	0	833
护士	hu4 shi4	nurse	2	2	3.14	3.06	4.47	4.24	2.6	0.75	1.25	0.8	3.29	10.59	0	929
螺丝帽	luo2 si1 mao4	nut	1	3	2.55	4.12	4.69	2.14	2.17	0.25	2.95	0.73	4.5	10.41	0.06	1307
洋葱	yang2 cong1	onion	1	2	2.98	3.71	3.97	2.84	2.69	0.43	2.19	0.83	4.35	6.69	0.03	1294
桔子	jie2 zi3	orange	1	2	3.45	3.56	3.44	2.14	3.43	0.53	1.54	0.78	2	5.78	0.11	1330
鸵鸟	tuo2 niao3	ostrich	1	2	2.95	4.09	4.08	2.89	1.89	0.88	0.63	0.88	4.5	10.27	0.09	1137
猫头鹰	mao1 tou2 ying1	owl	1	3	2.52	4.19	4.28	3.84	2	0.98	0.17	0.98	3.65	4.68	0	866
毛笔	mao2 bi3	paintbrush	1	2	3.55	3.64	4.11	1.92	2.23	0.85	0.78	0.9	3	4.73	0	1048
平底锅	ping2 di3 guo1	pan	1	3	2.57	4.14	3.97	2.11	2.29	0.4	2.07	0.68	5.25	5.65	0.11	1449
熊猫	xiong2 mao1	panda	5	2	2.71	4.64	4.78	3.62	2.56	0.88	0.63	1	2.71	3.41	0	704
裤子	ku4 zi3	pants	1	2	3.6	4.33	4.78	1.92	4.34	0.93	0.5	1	1.94	4.2	0	772
礼物	li3 wu4	parcel	4	2	3.33	4.03	4.28	2.38	3.23	0.45	2.33	0.93	3.56	4.56	0	1146
鹦鹉	ying1 wu3	parrot	1	2	3.36	4	4.11	3.46	2.14	0.63	1.62	0.63	4.19	7.86	0.09	1083
桃子	tao2 zi3	peach	1	2	2.95	3.83	3.61	1.65	2.74	0.4	2.26	0.6	2	7.93	0.2	1420
孔雀	kong3 que4	peacock	1	2	2.81	4.03	4.56	3.92	2	0.95	0.34	1	3.13	5.74	0	825
花生	hua1 sheng1	peanut	1	2	2.48	4.36	4.33	2.59	3.29	0.95	0	0.95	2.06	4.42	0.09	1100
梨	li2	pear	1	1	2.81	4.08	4.58	1.16	3.23	0.6	1.66	0.7	1.71	2.69	0	1109
圆珠笔	yuan2 zhu1 bi3	pen	1	3	2.98	3.53	4.81	2.22	4.2	0.35	1.58	1	3.56	10.27	0.03	891
铅笔	qian1 bi3	pencil	1	2	3.36	4.36	4.8	2.22	3.51	0.95	0.29	1	2.06	2.85	0	843
企鹅	qi3 e2	penguin	1	2	3.17	3.75	3.81	2.16	2.23	0.95	0	0.95	3.81	3.58	0.03	960
青椒	qing1 jiao1	pepper	1	2	3.05	4.03	4.44	2.11	3.37	0.28	2.75	0.73	3.88	10.7	0.11	1245
钢琴	gang1 qin2	piano	1	2	3.02	3.94	4.47	4.11	2.54	0.85	0.64	0.98	3.63	4.2	0	936
猪	zhu1	pig	1	1	3.05	4.03	4.78	2.39	3.26	0.85	0.88	1	1.63	3.68	0.03	927
鸽子	ge1 zi3	pigeon	2	2	3.21	3.97	4.47	3.38	2.44	0.38	2.26	0.43	2.44	10.4	0.09	905
存钱罐	cun2 qian2 guan4	piggybank	2	3	2.71	3.81	4.5	2.81	2.14	0.35	2.76	0.9	3.82	7.89	0.09	1071
枕头	zhen3 tou2	pillow	2	2	2.76	3.56	3.92	2.81	4.09	0.73	0.78	0.73	1.81	3.73	0.03	1122
图钉	tu2 ding1	pin	2	2	3.4	4.47	3.83	1.92	2.37	0.7	1.37	0.93	4	10.86	0.11	1160
菠萝	bo1 luo2	pineapple	1	2	3.17	4.53	4.81	3.92	3.29	0.93	0.45	0.98	3.33	3.78	0.03	807
烟斗	yan1 dou3	pipe	1	2	3.07	4.14	4.39	1.7	1.89	0.95	0.34	0.98	4	10.45	0	917
海盗	hai3 dao4	pirate	3	2	3.31	3.91	3.89	4.59	1.86	0.58	2.58	0.85	5	10.5	0	1483
水壶	shui3 hu2	pitcher	1	2	3.48	2.24	4.42	1.84	3.91	0.23	3	0.75	#NULL!	#NULL!	0	1143
行星	xing2 xing1	planet	5	2	2.24	3.58	3.67	2.22	1.88	0.15	3.31	0.78	5.13	7.89	0.23	1388
盘子	pan2 zi3	plate	5	2	2.83	4.44	3.91	1.62	3.63	0.4	2.43	0.65	2.53	7.71	0.17	1155
钳子	qian2 zi3	pliers	1	2	3.1	3.66	4.5	2.16	2.17	0.65	1.64	0.85	3.82	8.92	0.06	1158
插头	cha1 tou2	plug	1	2	3.14	4.19	4.78	2	3.71	0.83	0.84	0.93	3.69	10.33	0	1105
梅花	mei2 hua1	plum blossom	5	2	2.45	4.17	4.56	3	2.12	0.93	0.5	0.98	3.41	10.55	0	923
警察	jing3 cha2	policeman	5	2	2.74	4.06	4.58	4.42	3.14	0.8	1.13	0.95	2.88	2.69	0.03	830
土豆	tu3 dou4	potato	1	2	2.57	3.61	3.56	1.3	4.09	0.7	0.82	0.78	2.81	4.66	0.06	1220
婴儿车	ying1 er2 che1	pram	1	3	2.33	3.56	3.89	3.24	1.91	0.55	1.66	0.7	4.5	10.35	0.14	1227
幻灯机	huan4 deng1 ji1	project	2	3	3.21	3.91	3.06	3.41	2.82	0.23	3.1	0.45	5.69	10.95	0.29	1677
南瓜	nan2 gua1	pumpkin	1	2	2.55	4.06	4.42	2.24	2.46	0.93	0.34	0.95	3.5	5.72	0.03	908
金字塔	jin1 zi4 ta3	pyramid	3	3	2.93	4.39	4.03	3.76	1.91	0.75	1.25	0.75	5.24	10.27	0	1089
兔子	tu4 zi3	rabbit	1	2	3.48	4.29	4.89	2.73	2.74	0.68	1.41	1	2.25	1.94	0	716
收音机	shou1 yin1 ji1	radio	4	3	2.45	3.83	4.5	4.05	3.43	0.8	0.89	0.98	3.25	4.56	0	990
萝卜	luo2 bu3	radish	5	2	3.5	3.39	4.53	3.51	3.17	0.85	0.95	0.95	2.31	3.73	0	930
竹排	zhu2 pai2	raft	2	2	3.1	4.28	3.56	3.97	1.77	0.25	2.52	0.73	5.06	10.4	0.2	1266
铁轨	tie3 gui3	rail	5	2	2.81	4.22	4.44	3.35	2.4	0.53	2.14	0.93	4.47	7.8	0.06	1272
唱片机	chang4 pian4 ji1	record player	1	3	2.95	3.53	3.51	3.53	2.09	0.25	2.34	0.5	5.24	10.95	0.17	1523
冰箱	bing1 xiang1	refrigerator	1	2	2.93	4.11	4.53	2.03	2.94	0.88	0.63	0.93	4.59	3.58	0	857
犀牛	xi1 niu2	rhinoceros	1	2	2.4	4.26	4.03	3.51	1.63	0.78	0.85	0.78	4.82	5.78	0.06	1046
戒指	jie4 zhi3	ring	1	2	3.57	3.94	3.89	2.14	2.74	0.63	1.31	0.63	4.5	10.6	0.09	1310
公路	gong1 lu4	road	5	2	3.21	3.36	4.47	3.73	3.5	0.73	1.26	0.98	3.06	7.17	0.03	1248
机器人	ji1 qi4 ren2	robot	2	3	2.6	3.75	4.31	3.78	2.09	1	0	1	4.31	3.41	0	808
火箭	huo3 jian4	rocket	1	2	3.1	4.11	4.33	3.92	2.26	0.95	0.17	0.98	4	4.72	0.06	1007
椅子	yi3 zi3	rocking chair	1	2	3.29	3.14	4.22	3.39	4.24	0.88	1.91	0.98	4.81	4.66	0.06	855
擀面杖	gan3 mian4 zhang4	rolling pin	1	3	2.81	3.42	3.22	1.38	1.83	0.13	2.64	0.18	3.38	10.6	0.31	1479
屋顶	wu1 ding3	roof	4	2	2.93	3.97	4.83	1.73	3.03	0.43	2.27	0.73	3.25	7.84	0	844
公鸡	gong1 ji1	rooster	1	2	2.76	4.56	4.83	3.27	2.23	0.85	0.8	0.98	2.06	2.69	0	760
绳子	sheng2 zi3	rope	1	2	3.79	4.39	4.72	3.35	3	0.53	2.36	0.95	2.06	5.16	0	892
玫瑰	mei2 gui1	rose	2	2	3.36	4	4.56	3.62	3.14	0.63	1.35	0.93	5.19	7	0	867
地毯	di4 tan3	rug	5	2	3	3.08	4.23	3.38	2.71	0.35	2.76	0.63	4.38	10.77	0.03	1026
尺子	chi3 zi3	rule	1	2	3.4	4.81	4.86	2.11	3.06	0.65	1.32	1	2.69	4.66	0	791
保险柜	bao3 xian3 gui4	safe	4	3	2.95	4.08	4.17	2.46	2.11	0.38	2.6	0.53	5.56	10.35	0.06	1167
帆船	fan1 chuan2	sailboat	1	2	2.38	4.11	4.39	3	2	0.83	0.77	0.98	3.76	7.89	0	920
凉鞋	liang2 xie2	sandals	4	2	3.48	3.03	4.72	3.14	3.18	0.73	1.34	0.93	2.38	10.6	0	1010
三明治	san1 ming2 zhi4	sandwich	1	3	2.95	3	3.61	3	2.83	0.45	2.52	0.78	5.88	9.03	0.17	1461
水瓢	shui3 piao2	saucepan	1	2	2.59	3.53	4.33	1.84	1.66	0.13	3.82	0.63	5.56	10.64	0.14	1427
香肠	xiang1 chang2	sausage	5	2	3.55	3.36	3.53	1.46	3.12	0.33	2.51	0.45	3.88	7.09	0.23	1704
锯	ju4	saw	1	1	2.48	3.23	3.06	2.11	1.8	0.28	2.19	0.63	3.44	9.16	0.14	1240
天平	tian1 ping2	scale	1	2	2.67	3.78	4.47	2.81	2.23	0.88	0.63	0.98	4.53	10.47	0	979
围巾	wei2 jin1	scarf	3	2	2.81	4.39	4.78	3.32	2.8	1	0	1	2.94	3.41	0.03	1009
剪刀	jian3 dao1	scissors	1	2	3.05	4.11	4.78	2.05	3.4	0.88	0.54	1	2.19	1.94	0.03	726
乐谱	le4 pu3	score	2	2	3.24	3.86	4.4	4.46	1.97	0.45	1.71	1	4.94	7.89	0.03	1127
蝎子	xie1 zi3	scorpion	1	2	2.55	4.12	3.92	3.54	1.68	0.68	1.32	0.7	4.35	10.5	0.14	1204
螺丝钉	luo2 si1 ding1	screw	1	3	2.19	4.31	4.11	2.86	2.29	0.35	2.59	0.7	3.88	10.32	0.09	1163
螺丝刀	luo2 si1 dao1	screwdriver	1	3	2.83	3.73	4.75	2.11	2.17	0.48	1.76	0.83	4.63	7.44	0.09	1355
海豹	hai3 bao4	seal	3	2	2.31	3.94	3.61	3.49	1.91	0.45	1.84	0.53	5	10.35	0.03	1356
葱	cong1	scallion	5	1	2.88	4.31	4.58	2.86	3.26	0.73	1.2	0.98	2.38	6.69	0.09	1066
鲨鱼	sha1 yu2	shark	5	2	2.5	4.17	3.89	3.73	1.89	0.7	1.35	0.73	4.56	3.56	0.06	1000
绵羊	mian2 yang2	sheep	1	2	2.98	3.56	4.17	3.05	2.03	0.48	1.73	0.83	2.81	10.4	0.03	1183
盾牌	dun4 pai2	shield	5	2	3.33	3.83	3	2.7	1.71	0.3	1.51	0.58	5	10.27	0.06	1216
衬衫	chen4 shan1	shirt	1	2	2.33	3.81	4.78	2.62	3.54	0.35	2.25	0.95	3.06	10.68	0	912
鞋	xie2	shoe	1	1	2.98	3.69	4.86	3.08	4.26	0.43	1.8	0.98	1.46	1.94	0	744
铲子	chan3 zi3	shovel	5	2	3.07	4.2	4.5	1.68	2.06	0.4	1.9	0.95	3.31	4.74	0.06	1063
蚕	can2	silkworm	5	1	2.88	3.29	3.56	3.57	1.83	0.45	1.67	0.45	3.59	10.8	0.06	1125
溜冰鞋	liu1 bing1 xie2	skate	4	3	3.45	3.69	4.39	2.6	2.89	0.25	2.76	0.85	5.81	5.72	0.03	1166
裙子	qun2 zi3	skirt	1	2	3.05	3.11	4.31	1.32	3.12	0.65	1.55	0.95	2.44	4.18	0.03	956
骷髅	ku1 lou2	skull	1	2	2.81	4.25	4.25	3.7	1.71	0.6	1.62	1	5.69	9.03	0	910
雪橇	xue3 qiao1	sleigh	1	2	2.74	3	2.86	3	1.8	0.35	2	0.5	5.56	10.45	0.26	1396
拖鞋	tuo1 xie2	slippers	3	2	2.58	3.75	4.81	1.57	4.18	0.98	0.17	1	2.88	2.3	0	761
蜗牛	wo1 niu2	snail	1	2	2.45	4.47	4.56	2.68	1.94	0.98	0	0.98	3.69	3.56	0	913
蛇	she2	snake	1	1	3.12	4.25	4.58	3.76	2.29	0.93	0.29	0.98	2.56	3.18	0.03	783
雪花	xue3 hua1	snow	5	2	3.55	3.89	4.31	2.73	2.37	0.9	0.35	0.93	2.31	4.74	0	1140
雪人	xue3 ren2	snowman	1	2	2.76	4.26	4.75	2.24	1.89	0.98	0.17	1	2.5	2.79	0	896
足球	zu2 qiu2	soccer	5	2	3.05	4.56	4.83	3.7	3.63	1	0	1	4.06	4.68	0	803
袜子	wa4 zi3	socks	1	2	3.19	4.33	4.81	1.97	4.29	0.88	0.78	0.98	1.88	2.54	0	803
扳手	ban1 shou3	spanner	4	2	2.86	4.52	4.75	3.38	1.91	0.3	1.7	0.6	5	10.23	0	1153
矛	mao2	spear	5	1	2.76	3.58	4.03	2.41	1.8	0.28	2.63	0.9	4.69	10.75	0.09	1296
地球仪	di4 qiu2 yi2	tellurion	4	3	2.93	4.11	4.72	3.05	2.49	1	0	1	4.13	7.17	0	841
蜘蛛	zhi1 zhu1	spider	1	2	2.4	3.75	4.22	2.78	2.37	0.83	0	0.83	2.76	5.18	0.11	1194
纺车	fang3 che1	spinning wheel	1	2	2.78	3.22	2.94	3.59	1.63	0.45	2.18	0.65	5.13	10.86	0.31	1398
勺子	shao2 zi3	spoon	1	2	2.95	4.31	4.92	1.35	3.77	0.63	1.91	1	2	2.54	0	789
三角板	san1 jiao3 ban3	square	2	3	3.07	4.2	4.72	1.51	2.2	0.53	1.43	1	3.63	5.18	0	892
松鼠	song1 shu3	squirrel	1	2	2.74	4.5	4.33	2.65	1.83	0.98	0.17	1	3.47	4.56	0	1075
台阶	tai2 jie1	staircase	5	2	3.05	4.33	4.81	1.83	3.54	0.45	2.03	1	3.53	3.67	0	869
印章	yin4 zhang1	seal	2	2	3.62	3.83	4.61	1.86	2.4	0.7	1.39	0.93	4.88	6.69	0.03	1124
邮票	you2 piao4	stamp	5	2	3.67	3.75	4.17	4.54	2.83	0.95	0.29	0.95	3.56	9.16	0.06	1071
五角星	wu3 jiao3 xing1	star	1	3	2.95	4.61	4.97	1.05	2.63	0.68	1.11	1	2.31	2.54	0	753
方向盘	fang1 xiang4 pan2	steering wheel	2	3	2.93	4.56	4.75	2.49	2.51	0.95	0.17	0.95	4.65	4.73	0.14	1338
听诊器	ting1 zhen3 qi4	stethoscope	1	3	2.57	3.91	4.31	2.59	1.89	0.8	0.56	0.88	4.24	10.73	0.06	1284
凳子	deng4 zi3	stool	1	2	3	3.58	4.64	2.08	3.86	0.65	1.9	0.93	1.94	3.56	0	800
草莓	cao3 mei2	strawberry	1	2	2.83	4.28	4.53	2.62	3.09	1	0	1	3.18	2.69	0	1068
皮箱	pi2 xiang1	suitcase	1	2	3.12	3.53	4.42	2.86	2.97	0.23	3.15	1	3.88	7.17	0	972
相扑	xiang1 pu1	sumo	2	2	2.22	3.44	4	3.43	1.57	0.53	2.39	0.78	5.88	10.85	0.09	1153
太阳	tai4 yang2	sun	1	2	2.9	4.56	4.89	1.35	4.03	0.98	0.17	1	1.65	2.54	0	685
向日葵	xiang4 ri4 kui2	sunflower	4	3	2.52	4.11	4.58	3.16	2.31	0.9	0.67	0.95	3.31	10.27	0.03	867
燕子	yan4 zi3	swallow	4	2	2.95	4.63	4.61	3.51	2.43	0.93	0.45	1	2.41	4.56	0	991
鹅	e2	swan	1	1	3.2	3.75	4.58	2.41	2.21	0.65	1.14	0.65	3.63	9.07	0	1004
毛衣	mao2 yi1	sweater	1	2	3.52	3.83	4.89	2.78	3.23	0.7	1.66	0.78	2.94	8.64	0	904
秋千	qiu1 qian1	swing	1	2	2.98	4.42	4.44	1.78	2.37	0.8	0.38	0.83	2.94	10.4	0.06	1251
剑	jian4	sword	5	1	3.38	3.84	4.39	1.76	2.06	0.95	0.34	0.98	3.63	4.73	0.06	1042
注射器	zhu4 she4 qi4	syringe	1	3	3.07	4.64	4.67	3.22	2.03	0.4	2.08	1	4.13	4.72	0	942
乒乓球拍	ping1 pang1 qiu2 pai1	table tennis bat	1	4	2.85	4.5	4.92	1.97	2.69	0.75	1.14	1	4.47	5.65	0.03	973
桌子	zhuo1 zi3	table	1	2	3.02	4.14	4.67	2.19	4.23	0.7	1.5	0.95	2	2.85	0	906
尾巴	wei3 ba1	tail	5	2	3.29	2.94	3.61	2.46	2.56	0.58	1.85	0.9	2.63	5.19	0.2	1340
坦克	tan3 ke4	tank	2	2	3.43	3.92	4.31	2.35	2	0.93	0.18	0.93	3.88	4.69	0.03	1012
靶子	ba3 zi3	target	2	2	3.1	3.4	4.25	3.46	1.83	0.2	3.29	0.75	4.24	10.47	0.26	1349
电话	dian4 hua4	telephone	1	2	3	3.5	4.78	3.32	4.46	0.88	0.63	1	4.19	2.54	0.03	752
望远镜	wang4 yuan3 jing4	telescope	5	3	3.33	2.61	4.22	1.97	2.26	0.9	1.17	0.9	4.13	5.78	0.06	1153
电视	dian4 shi4	television	1	2	3.57	3.94	5	2.81	3.97	0.55	1.27	0.98	2.88	4.18	0	782
网球拍	wang3 qiu2 pai1	tennis racket	1	4	2.9	4.22	4.61	3.3	2.88	0.43	2.03	0.45	4.31	11	0	877
帐篷	zhang4 peng2	tent	3	2	2.69	4.19	4.47	2.27	2.11	0.93	0.34	0.93	4.63	5.74	0	963
试管	shi4 guan3	test-tube	2	2	2.83	3.42	3.47	1.86	2.26	0.78	0.9	0.85	5.75	11	0.31	1524
温度计	wen1 du4 ji4	thermograph	1	3	2.81	3.58	4.64	2.95	2.69	0.93	0.5	0.98	4.06	7.8	0	1046
线轴	xian4 zhou2	thread spool	1	2	2.95	3.32	4.11	3.32	1.71	0.3	3.04	0.68	4.75	7.84	0.09	1391
拇指	mu3 zhi3	thumb	1	2	2.36	4.22	4.97	2.08	3.71	0.55	1.28	0.95	2.41	3.78	0.03	889
领带	ling3 dai4	tie	1	2	2.98	4.5	4.58	2.62	2.86	1	0	1	5.75	7.17	0	841
老虎	lao3 hu3	tiger	1	2	3.02	3.83	4.33	4.11	2.26	0.73	1.31	0.9	2.29	2.69	0	1009
轮胎	lun2 tai1	tire	1	2	3.62	4.33	4.67	3.57	2.8	0.65	1.47	0.98	3.73	6.94	0	912
马桶	ma3 tong3	toilet	2	2	2.26	4.19	4.72	2.22	3.4	0.73	1.35	1	4.88	9.19	0.03	995
西红柿	xi1 hong2 shi4	tomato	1	3	2.78	4.39	4.61	1.92	3.8	0.6	1.27	0.65	2.94	5.77	0.03	1186
舌头	she2 tou2	tongue	5	2	2.64	3.14	4.64	2.05	3.54	0.7	1.26	0.85	1.94	3.73	0.03	1056
牙齿	ya2 chi3	tooth	5	2	3.64	2.28	4.17	2.32	4	0.38	2.25	0.75	1.81	4.73	0.03	1183
牙刷	ya2 shua1	toothbrush	1	2	2.98	4.39	4.92	2.62	4.43	0.98	0	1	2.25	3.42	0	773
陀螺	tuo2 luo2	top	1	2	2.5	3.47	3.89	2.59	1.57	0.65	0.73	0.8	3.69	7.69	0.09	1194
手电筒	shou3 dian4 tong3	torch	5	3	2.81	4.03	4.83	2.73	2.57	0.65	1.49	0.95	3.06	7.92	0	1013
塔	ta3	tower	5	1	3.54	2.76	3.64	4.41	2.29	0.4	1.75	0.68	5.06	10.35	0.23	1255
毛巾	mao2 jin1	towel	5	2	3.19	4.22	4.36	2.3	4.34	0.9	0.35	0.95	2.19	4.42	0.03	994
拖拉机	tuo1 la1 ji1	tractor	1	3	3.26	3.54	4.03	4.19	2	0.55	2.04	0.65	3.06	10.55	0.11	1132
红绿灯	hong2 lv1 deng1	traffic light	1	3	2.67	3.92	4.44	2.92	3.83	0.48	1.3	0.85	3.75	5.68	0.06	1188
火车	huo3 che1	train	1	2	3.1	4.08	4.81	4.32	3.17	0.98	0.17	1	3.56	2.3	0.03	861
大树	da4 shu4	tree	1	2	3.86	4.31	4.81	3.46	3.83	0.5	1.29	0.98	2	2.3	0	856
树桩	shu4 zhuang1	tree stump	2	2	3.25	4.33	4.57	2.27	2.03	0.6	1.63	0.8	3.38	10.85	0	1122
三轮车	san1 lun2 che1	tricycle	4	3	2.57	2.22	4.06	3.78	2.5	0.2	3.14	0.4	3.44	10.86	0.11	1204
卡车	qia3 che1	truck	1	2	2.88	3.56	4.64	2.54	2.71	0.38	2.24	0.88	2.93	7.09	0.03	1049
小号	xiao3 hao4	trumpet	1	2	2.24	4.24	4.44	3.35	1.8	0.5	1.94	0.95	5.53	5.42	0.06	1082
海螺	hai3 luo2	trumpet shell	5	2	2.52	3.62	3.28	3.65	1.94	0.75	1.25	0.75	5	10.27	0.14	1395
郁金香	yu4 jin1 xiang1	tulip	4	3	3.21	3.5	4.47	2.7	2.31	0.38	2.38	0.38	5.35	11	0.17	984
隧道	sui4 dao4	tunnel	2	2	3.05	3.97	4.03	3.89	2.14	0.5	1.87	0.7	5.35	10.7	0.11	1429
乌龟	wu1 gui1	turtel	1	2	2.83	4.46	4.47	3.16	2.4	0.8	0.72	1	3	2.54	0	754
雨伞	yu3 san3	umbrella	1	2	3.71	4.47	4.89	2.68	3.03	0.58	1.21	1	2.76	1.94	0	698
花瓶	hua1 ping2	vase	1	2	3.05	3.94	4.42	3.16	2.97	0.8	0.98	0.95	3	4.42	0	913
小提琴	xiao3 ti2 qin2	violin	1	3	2.43	4.42	4.42	3.89	2.03	0.48	2.28	0.65	4.5	5.74	0.09	906
排球	pai2 qiu2	volleyball	5	2	2.74	4.22	4.61	2.03	2.66	0.7	1.42	0.7	4.63	10.27	0.06	968
马甲	ma3 jia3	vest	1	2	2.86	3.94	4.72	2.32	2.37	0.7	1.42	1	4.53	10.75	0.03	1034
背心	bei4 xin1	waterfall	4	2	3.24	4.36	4.83	1.97	3.34	0.88	0.68	0.9	2.4	4.42	0.03	935
墙	qiang2	wall	5	1	3.69	3.56	4.86	3.81	3.37	0.68	1.48	0.9	2.25	3.81	0	1031
钱包	qian2 bao1	wallet	2	2	3.29	3.37	4.69	3.05	4.23	0.7	1.1	0.98	3.25	4.68	0	1155
洗衣机	xi3 yi1 ji1	washer	1	3	3.14	3.56	4.19	3.38	2.8	0.88	0.36	0.88	3.65	5.19	0.09	1100
手表	shou3 biao3	watch	1	2	2.98	4.17	4.89	3.14	3.83	0.93	0.38	1	3.06	2.54	0	787
瀑布	pu4 bu4	waterfall	3	2	2.74	3.72	4.22	4.38	2.06	0.98	0	0.98	3.73	8.27	0.03	986
喷壶	pen1 hu2	watering can	1	2	2.76	3.85	4.33	2.49	2.11	0.3	2.95	0.95	4.38	4.68	0	1118
水井	shui3 jing3	well	1	2	3.12	3.58	3.72	3.67	1.89	0.45	1.75	0.83	2.63	10.92	0.11	1211
鲸鱼	jing1 yu2	whale	5	2	3.55	3.84	3.89	3	2.06	0.38	1.86	0.75	3.94	10.3	0.09	1281
车轮	che1 lun2	wheel	1	2	2.74	3.23	4.36	3.24	2.74	0.45	1.6	0.98	2.35	3.41	0.03	901
鞭子	bian1 zi3	whip	5	2	3.32	4.11	3.14	2.16	2.06	0.63	1.1	0.8	3.06	8.88	0.17	1303
哨子	shao4 zi3	whistle	1	2	2.65	4.51	4.58	2.08	2.26	0.58	1.4	0.98	2.69	5.74	0.03	1028
野猪	ye3 zhu1	wild boar	2	2	2.19	2.41	2.81	2.81	1.94	0.3	1.98	0.65	4.38	10.55	0.11	1338
