word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
eleven,5,IlEvH,5,5.78,2,3.71,3.93,Number,None,English,NA,3.450980392,0.095324755,5,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,13-101,eleven,elleven,endleofan,9,M
twenty,5,twEntI,6,#N/A,2,3.72,3.67,Number,None,English,NA,3.450980392,0.009532476,6,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,13-104,twenty,twenti,twe’‹ntig,7,M
with,5,wID,3,4.44,2,6.75,2,Preposition,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,,,,,NA,M
in,5,In,2,3.69,2,7.17,3,Preposition,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,12-050,in,,in,2,Z
at,5,{t,2,4.04,2,6.69,2.07,Preposition,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,,,,,NA,M
after,5,#ft@R,5,6,2,5.94,2.12,Preposition,None,English,NA,3.450980392,0.095324755,5,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,12-010,after,after,í_fter,5,Z
I,5,2,1,2.79,2,7.33,3.93,Pronoun,None,English,NA,3.450980392,0.027669374,1,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,2-910,I,ich,ic,2,M
he,5,hi,2,3.81,2,6.82,3.93,Pronoun,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,2-930,he,he,he’‹,2,Z
it,5,It,2,4.4,2,7.33,2.81,Pronoun,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,2-930,it,hit,hit,3,Z
we,5,wi,2,5.04,2,7,3.08,Pronoun,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,2-940,we,we,we’‹,2,M
