"","English.name","Japanese.name","Transcription","Katakana.reading","Picture.naming","Cognate.status","Japanese..L1..age.of.acquisition","English..L2..familiarity","Concreteness..L1.","No.Trans.L1.L2","No.Trans.L2.L1","NoM.L1","NoM.L2","Phonological.similarity","Semantic.similarity","subtlexzipf","Borrowed","age"
"156","ski","スキー","sukii","スキー","Yes","C",4,4.1,5.6,1,1,1,1,4.1,4.6,8.84,NA,NA
"157","skill","スキル","sukiru","スキル","No","C",4.6,4.5,3.2,1,4,1,1,3.5,4.3,9.15,NA,NA
"158","skirt","スカート","sukaato","スカート","Yes","C",3.5,4,5.6,1,1,1,1,3.2,4.8,7.77,"1. clearly borrowed","Modern Japanese"
"159","slipper","スリッパ","surippa","スリッパ","Yes","C",3.3,3.5,5.6,1,2,1,2,3.4,4.2,3.43,NA,NA
"160","slow","スロー","suroo","スロー","No","C",4.2,4.3,2.7,1,2,1,1,3.6,4.1,8.13,"5. no evidence for borrowing","Middle Japanese"
"161","smell","香り","kaori","カオリ","No","NC",4.2,3.7,2.9,4,2,2,1,1,4,9.08,NA,NA
"162","snake","ヘビ","hebi","ヘビ","Yes","NC",3.2,3.4,5.6,1,1,1,2,1.1,4.9,7.81,"5. no evidence for borrowing","Old Japanese"
"163","snowman","雪だるま","yukidaruma","ユキダルマ","Yes","NC",2.8,3,5.2,1,3,1,1,1,4.6,5.95,NA,NA
"164","sock","靴下","kutsushita","クツシタ","Yes","NC",3.5,3,5.8,1,2,1,2,1,4.6,6.77,"5. no evidence for borrowing","Modern Japanese"
"165","solid","固体","kotai","コタイ","No","NC",4.7,3,3.2,3,4,1,1,1.2,4.1,8.33,NA,NA
"166","spoon","スプーン","supuun","スプーン","Yes","C",2.8,4.4,5.9,1,3,1,2,4.3,4.8,7.26,"1. clearly borrowed","Early Modern Japanese"
"167","stroke","なでる","naderu","ナデル","No","NC",3.5,3.2,4.2,2,7,1,1,1,2.3,5.16,NA,NA
"168","style","スタイル","sutairu","スタイル","No","C",4.5,4.5,2.3,1,8,1,4,3.5,3.9,9.7,NA,NA
"169","swan","白鳥","hakuchou","ハクチョウ","Yes","NC",3.7,3.1,5.6,1,1,1,1,1,4.6,7.11,NA,NA
"170","tank","戦車","sensha","センシャ","Yes","NC",4.1,3.6,5.5,3,4,2,1,1,3.4,7.89,NA,NA
"171","task","タスク","tasku","タスク","No","C",4.6,4.1,2.9,1,4,1,2,3.9,3.9,7.76,NA,NA
"172","telephone","電話","denwa","デンワ","Yes","NC",4,4.3,5.1,4,1,2,2,1,4.9,11.19,"2. probably borrowed","Modern Japanese"
"173","television","テレビ","terebi","テレビ","Yes","C",3.6,4.4,5.7,1,1,1,1,2.4,4.9,10.86,"1. clearly borrowed","Modern Japanese"
"174","tent","テント","tento","テント","Yes","C",3.7,3.4,5.2,1,1,1,1,3.9,4.8,7.99,"1. clearly borrowed","Modern Japanese"
"175","tiger","トラ","tora","トラ","Yes","NC",3.2,3.4,5.7,1,1,1,1,1.7,4.8,8.46,NA,NA
