"","Name","Pinyin","English","Source","LEN","VAR","IMG","FAM","VC","FREQ","NA.","H.value","CA","AoA_r","AoA_o","error","RT_harm","Borrowed","age","age.youngest","age.oldest"
"325","螺丝刀","luo2si1dao1","screwdriver",1,3,2.83,3.73,4.75,2.11,2.17,0.48,1.76,0.83,"4.63","7.44",0.09,1355,NA,NA,NA,NA
"326","海豹","hai3bao4","seal",3,2,2.31,3.94,3.61,3.49,1.91,0.45,1.84,0.53,"5","10.35",0.03,1356,NA,NA,NA,NA
"327","葱","cong1","scallion",5,1,2.88,4.31,4.58,2.86,3.26,0.73,1.2,0.98,"2.38","6.69",0.09,1066,NA,NA,NA,NA
"328","鲨鱼","sha1yu2","shark",5,2,2.5,4.17,3.89,3.73,1.89,0.7,1.35,0.73,"4.56","3.56",0.06,1000,"4. very little evidence for borrowing","No information",NA,"No information"
"329","绵羊","mian2yang2","sheep",1,2,2.98,3.56,4.17,3.05,2.03,0.48,1.73,0.83,"2.81","10.4",0.03,1183,"5. no evidence for borrowing","No information",NA,"No information"
"330","盾牌","dun4pai2","shield",5,2,3.33,3.83,3,2.7,1.71,0.3,1.51,0.58,"5","10.27",0.06,1216,"5. no evidence for borrowing","No information",NA,"No information"
"331","衬衫","chen4shan1","shirt",1,2,2.33,3.81,4.78,2.62,3.54,0.35,2.25,0.95,"3.06","10.68",0,912,"5. no evidence for borrowing","No information",NA,"No information"
"332","鞋","xie2","shoe",1,1,2.98,3.69,4.86,3.08,4.26,0.43,1.8,0.98,"1.46","1.94",0,744,NA,NA,NA,NA
"333","铲子","chan3zi3","shovel",5,2,3.07,4.2,4.5,1.68,2.06,0.4,1.9,0.95,"3.31","4.74",0.06,1063,NA,NA,NA,NA
"334","蚕","can2","silkworm",5,1,2.88,3.29,3.56,3.57,1.83,0.45,1.67,0.45,"3.59","10.8",0.06,1125,NA,NA,NA,NA
"335","溜冰鞋","liu1bing1xie2","skate",4,3,3.45,3.69,4.39,2.6,2.89,0.25,2.76,0.85,"5.81","5.72",0.03,1166,NA,NA,NA,NA
"336","裙子","qun2zi3","skirt",1,2,3.05,3.11,4.31,1.32,3.12,0.65,1.55,0.95,"2.44","4.18",0.03,956,NA,NA,NA,NA
"337","骷髅","ku1lou2","skull",1,2,2.81,4.25,4.25,3.7,1.71,0.6,1.62,1,"5.69","9.03",0,910,NA,NA,NA,NA
"338","雪橇","xue3qiao1","sleigh",1,2,2.74,3,2.86,3,1.8,0.35,2,0.5,"5.56","10.45",0.26,1396,"5. no evidence for borrowing","No information",NA,"No information"
"339","拖鞋","tuo1xie2","slippers",3,2,2.58,3.75,4.81,1.57,4.18,0.98,0.17,1,"2.88","2.3",0,761,NA,NA,NA,NA
"340","蜗牛","wo1niu2","snail",1,2,2.45,4.47,4.56,2.68,1.94,0.98,0,0.98,"3.69","3.56",0,913,"5. no evidence for borrowing","WeiJin",NA,"WeiJin"
"341","蛇","she2","snake",1,1,3.12,4.25,4.58,3.76,2.29,0.93,0.29,0.98,"2.56","3.18",0.03,783,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"342","雪花","xue3hua1","snow",5,2,3.55,3.89,4.31,2.73,2.37,0.9,0.35,0.93,"2.31","4.74",0,1140,NA,NA,NA,NA
"343","雪人","xue3ren2","snowman",1,2,2.76,4.26,4.75,2.24,1.89,0.98,0.17,1,"2.5","2.79",0,896,NA,NA,NA,NA
"344","足球","zu2qiu2","soccer",5,2,3.05,4.56,4.83,3.7,3.63,1,0,1,"4.06","4.68",0,803,NA,NA,NA,NA
"345","袜子","wa4zi3","socks",1,2,3.19,4.33,4.81,1.97,4.29,0.88,0.78,0.98,"1.88","2.54",0,803,NA,NA,NA,NA
"346","扳手","ban1shou3","spanner",4,2,2.86,4.52,4.75,3.38,1.91,0.3,1.7,0.6,"5","10.23",0,1153,NA,NA,NA,NA
"347","矛","mao2","spear",5,1,2.76,3.58,4.03,2.41,1.8,0.28,2.63,0.9,"4.69","10.75",0.09,1296,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"348","地球仪","di4qiu2yi2","tellurion",4,3,2.93,4.11,4.72,3.05,2.49,1,0,1,"4.13","7.17",0,841,NA,NA,NA,NA
"349","蜘蛛","zhi1zhu1","spider",1,2,2.4,3.75,4.22,2.78,2.37,0.83,0,0.83,"2.76","5.18",0.11,1194,"5. no evidence for borrowing","Han dynasty",NA,"Han dynasty"
"350","纺车","fang3che1","spinning wheel",1,2,2.78,3.22,2.94,3.59,1.63,0.45,2.18,0.65,"5.13","10.86",0.31,1398,NA,NA,NA,NA
"351","勺子","shao2zi3","spoon",1,2,2.95,4.31,4.92,1.35,3.77,0.63,1.91,1,"2","2.54",0,789,NA,NA,NA,NA
"352","三角板","san1jiao3ban3","square",2,3,3.07,4.2,4.72,1.51,2.2,0.53,1.43,1,"3.63","5.18",0,892,NA,NA,NA,NA
"353","松鼠","song1shu3","squirrel",1,2,2.74,4.5,4.33,2.65,1.83,0.98,0.17,1,"3.47","4.56",0,1075,"5. no evidence for borrowing","1900",1900,"1900"
"354","台阶","tai2jie1","staircase",5,2,3.05,4.33,4.81,1.83,3.54,0.45,2.03,1,"3.53","3.67",0,869,NA,NA,NA,NA
"355","印章","yin4zhang1","seal",2,2,3.62,3.83,4.61,1.86,2.4,0.7,1.39,0.93,"4.88","6.69",0.03,1124,NA,NA,NA,NA
"356","邮票","you2piao4","stamp",5,2,3.67,3.75,4.17,4.54,2.83,0.95,0.29,0.95,"3.56","9.16",0.06,1071,"5. no evidence for borrowing","Modern",NA,"Modern"
"357","五角星","wu3jiao3xing1","star",1,3,2.95,4.61,4.97,1.05,2.63,0.68,1.11,1,"2.31","2.54",0,753,NA,NA,NA,NA
"358","方向盘","fang1xiang4pan2","steering wheel",2,3,2.93,4.56,4.75,2.49,2.51,0.95,0.17,0.95,"4.65","4.73",0.14,1338,NA,NA,NA,NA
"359","听诊器","ting1zhen3qi4","stethoscope",1,3,2.57,3.91,4.31,2.59,1.89,0.8,0.56,0.88,"4.24","10.73",0.06,1284,NA,NA,NA,NA
"360","凳子","deng4zi3","stool",1,2,3,3.58,4.64,2.08,3.86,0.65,1.9,0.93,"1.94","3.56",0,800,NA,NA,NA,NA
"361","草莓","cao3mei2","strawberry",1,2,2.83,4.28,4.53,2.62,3.09,1,0,1,"3.18","2.69",0,1068,NA,NA,NA,NA
"362","皮箱","pi2xiang1","suitcase",1,2,3.12,3.53,4.42,2.86,2.97,0.23,3.15,1,"3.88","7.17",0,972,NA,NA,NA,NA
"363","相扑","xiang1pu1","sumo",2,2,2.22,3.44,4,3.43,1.57,0.53,2.39,0.78,"5.88","10.85",0.09,1153,NA,NA,NA,NA
"364","太阳","tai4yang2","sun",1,2,2.9,4.56,4.89,1.35,4.03,0.98,0.17,1,"1.65","2.54",0,685,NA,NA,NA,NA
"365","向日葵","xiang4ri4kui2","sunflower",4,3,2.52,4.11,4.58,3.16,2.31,0.9,0.67,0.95,"3.31","10.27",0.03,867,NA,NA,NA,NA
"366","燕子","yan4zi3","swallow",4,2,2.95,4.63,4.61,3.51,2.43,0.93,0.45,1,"2.41","4.56",0,991,NA,NA,NA,NA
"367","鹅","e2","swan",1,1,3.2,3.75,4.58,2.41,2.21,0.65,1.14,0.65,"3.63","9.07",0,1004,"5. no evidence for borrowing","Warring States period",NA,"Warring States period"
"368","毛衣","mao2yi1","sweater",1,2,3.52,3.83,4.89,2.78,3.23,0.7,1.66,0.78,"2.94","8.64",0,904,NA,NA,NA,NA
"369","秋千","qiu1qian1","swing",1,2,2.98,4.42,4.44,1.78,2.37,0.8,0.38,0.83,"2.94","10.4",0.06,1251,NA,NA,NA,NA
"370","剑","jian4","sword",5,1,3.38,3.84,4.39,1.76,2.06,0.95,0.34,0.98,"3.63","4.73",0.06,1042,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"371","注射器","zhu4she4qi4","syringe",1,3,3.07,4.64,4.67,3.22,2.03,0.4,2.08,1,"4.13","4.72",0,942,"5. no evidence for borrowing","No information",NA,"No information"
"372","乒乓球拍","ping1pang1qiu2pai1","table tennis bat",1,4,2.85,4.5,4.92,1.97,2.69,0.75,1.14,1,"4.47","5.65",0.03,973,NA,NA,NA,NA
"373","桌子","zhuo1zi3","table",1,2,3.02,4.14,4.67,2.19,4.23,0.7,1.5,0.95,"2","2.85",0,906,NA,NA,NA,NA
"374","尾巴","wei3ba1","tail",5,2,3.29,2.94,3.61,2.46,2.56,0.58,1.85,0.9,"2.63","5.19",0.2,1340,NA,NA,NA,NA
"375","坦克","tan3ke4","tank",2,2,3.43,3.92,4.31,2.35,2,0.93,0.18,0.93,"3.88","4.69",0.03,1012,NA,NA,NA,NA
"376","靶子","ba3zi3","target",2,2,3.1,3.4,4.25,3.46,1.83,0.2,3.29,0.75,"4.24","10.47",0.26,1349,NA,NA,NA,NA
"377","电话","dian4hua4","telephone",1,2,3,3.5,4.78,3.32,4.46,0.88,0.63,1,"4.19","2.54",0.03,752,"5. no evidence for borrowing","1889",1889,"1889"
"378","望远镜","wang4yuan3jing4","telescope",5,3,3.33,2.61,4.22,1.97,2.26,0.9,1.17,0.9,"4.13","5.78",0.06,1153,NA,NA,NA,NA
"379","电视","dian4shi4","television",1,2,3.57,3.94,5,2.81,3.97,0.55,1.27,0.98,"2.88","4.18",0,782,"5. no evidence for borrowing","20th century",NA,"20th century"
"380","网球拍","wang3qiu2pai1","tennis racket",1,4,2.9,4.22,4.61,3.3,2.88,0.43,2.03,0.45,"4.31","11",0,877,NA,NA,NA,NA
"381","帐篷","zhang4peng2","tent",3,2,2.69,4.19,4.47,2.27,2.11,0.93,0.34,0.93,"4.63","5.74",0,963,NA,NA,NA,NA
"382","试管","shi4guan3","test-tube",2,2,2.83,3.42,3.47,1.86,2.26,0.78,0.9,0.85,"5.75","11",0.31,1524,NA,NA,NA,NA
"383","温度计","wen1du4ji4","thermograph",1,3,2.81,3.58,4.64,2.95,2.69,0.93,0.5,0.98,"4.06","7.8",0,1046,NA,NA,NA,NA
"384","线轴","xian4zhou2","thread spool",1,2,2.95,3.32,4.11,3.32,1.71,0.3,3.04,0.68,"4.75","7.84",0.09,1391,NA,NA,NA,NA
"385","拇指","mu3zhi3","thumb",1,2,2.36,4.22,4.97,2.08,3.71,0.55,1.28,0.95,"2.41","3.78",0.03,889,"5. no evidence for borrowing","No information",NA,"No information"
"386","领带","ling3dai4","tie",1,2,2.98,4.5,4.58,2.62,2.86,1,0,1,"5.75","7.17",0,841,NA,NA,NA,NA
"387","老虎","lao3hu3","tiger",1,2,3.02,3.83,4.33,4.11,2.26,0.73,1.31,0.9,"2.29","2.69",0,1009,NA,NA,NA,NA
"388","轮胎","lun2tai1","tire",1,2,3.62,4.33,4.67,3.57,2.8,0.65,1.47,0.98,"3.73","6.94",0,912,NA,NA,NA,NA
"389","马桶","ma3tong3","toilet",2,2,2.26,4.19,4.72,2.22,3.4,0.73,1.35,1,"4.88","9.19",0.03,995,NA,NA,NA,NA
"390","西红柿","xi1hong2shi4","tomato",1,3,2.78,4.39,4.61,1.92,3.8,0.6,1.27,0.65,"2.94","5.77",0.03,1186,NA,NA,NA,NA
"391","舌头","she2tou2","tongue",5,2,2.64,3.14,4.64,2.05,3.54,0.7,1.26,0.85,"1.94","3.73",0.03,1056,NA,NA,NA,NA
"392","牙齿","ya2chi3","tooth",5,2,3.64,2.28,4.17,2.32,4,0.38,2.25,0.75,"1.81","4.73",0.03,1183,"5. no evidence for borrowing","No information",NA,"No information"
"393","牙刷","ya2shua1","toothbrush",1,2,2.98,4.39,4.92,2.62,4.43,0.98,0,1,"2.25","3.42",0,773,NA,NA,NA,NA
"394","陀螺","tuo2luo2","top",1,2,2.5,3.47,3.89,2.59,1.57,0.65,0.73,0.8,"3.69","7.69",0.09,1194,NA,NA,NA,NA
"395","手电筒","shou3dian4tong3","torch",5,3,2.81,4.03,4.83,2.73,2.57,0.65,1.49,0.95,"3.06","7.92",0,1013,NA,NA,NA,NA
"396","塔","ta3","tower",5,1,3.54,2.76,3.64,4.41,2.29,0.4,1.75,0.68,"5.06","10.35",0.23,1255,"2. probably borrowed","WeiJin",NA,"WeiJin"
"397","毛巾","mao2jin1","towel",5,2,3.19,4.22,4.36,2.3,4.34,0.9,0.35,0.95,"2.19","4.42",0.03,994,"5. no evidence for borrowing","No information",NA,"No information"
"398","拖拉机","tuo1la1ji1","tractor",1,3,3.26,3.54,4.03,4.19,2,0.55,2.04,0.65,"3.06","10.55",0.11,1132,NA,NA,NA,NA
"399","红绿灯","hong2lv1deng1","traffic light",1,3,2.67,3.92,4.44,2.92,3.83,0.48,1.3,0.85,"3.75","5.68",0.06,1188,NA,NA,NA,NA
"400","火车","huo3che1","train",1,2,3.1,4.08,4.81,4.32,3.17,0.98,0.17,1,"3.56","2.3",0.03,861,"5. no evidence for borrowing","1838",1838,"1838"
"401","大树","da4shu4","tree",1,2,3.86,4.31,4.81,3.46,3.83,0.5,1.29,0.98,"2","2.3",0,856,NA,NA,NA,NA
"402","树桩","shu4zhuang1","tree stump",2,2,3.25,4.33,4.57,2.27,2.03,0.6,1.63,0.8,"3.38","10.85",0,1122,NA,NA,NA,NA
"403","三轮车","san1lun2che1","tricycle",4,3,2.57,2.22,4.06,3.78,2.5,0.2,3.14,0.4,"3.44","10.86",0.11,1204,NA,NA,NA,NA
"404","卡车","qia3che1","truck",1,2,2.88,3.56,4.64,2.54,2.71,0.38,2.24,0.88,"2.93","7.09",0.03,1049,NA,NA,NA,NA
"405","小号","xiao3hao4","trumpet",1,2,2.24,4.24,4.44,3.35,1.8,0.5,1.94,0.95,"5.53","5.42",0.06,1082,"5. no evidence for borrowing","No information",NA,"No information"
"406","海螺","hai3luo2","trumpet shell",5,2,2.52,3.62,3.28,3.65,1.94,0.75,1.25,0.75,"5","10.27",0.14,1395,NA,NA,NA,NA
"407","郁金香","yu4jin1xiang1","tulip",4,3,3.21,3.5,4.47,2.7,2.31,0.38,2.38,0.38,"5.35","11",0.17,984,NA,NA,NA,NA
"408","隧道","sui4dao4","tunnel",2,2,3.05,3.97,4.03,3.89,2.14,0.5,1.87,0.7,"5.35","10.7",0.11,1429,NA,NA,NA,NA
"409","乌龟","wu1gui1","turtel",1,2,2.83,4.46,4.47,3.16,2.4,0.8,0.72,1,"3","2.54",0,754,NA,NA,NA,NA
"410","雨伞","yu3san3","umbrella",1,2,3.71,4.47,4.89,2.68,3.03,0.58,1.21,1,"2.76","1.94",0,698,NA,NA,NA,NA
"411","花瓶","hua1ping2","vase",1,2,3.05,3.94,4.42,3.16,2.97,0.8,0.98,0.95,"3","4.42",0,913,NA,NA,NA,NA
"412","小提琴","xiao3ti2qin2","violin",1,3,2.43,4.42,4.42,3.89,2.03,0.48,2.28,0.65,"4.5","5.74",0.09,906,NA,NA,NA,NA
"413","排球","pai2qiu2","volleyball",5,2,2.74,4.22,4.61,2.03,2.66,0.7,1.42,0.7,"4.63","10.27",0.06,968,NA,NA,NA,NA
"414","马甲","ma3jia3","vest",1,2,2.86,3.94,4.72,2.32,2.37,0.7,1.42,1,"4.53","10.75",0.03,1034,NA,NA,NA,NA
"415","背心","bei4xin1","waterfall",4,2,3.24,4.36,4.83,1.97,3.34,0.88,0.68,0.9,"2.4","4.42",0.03,935,NA,NA,NA,NA
"416","墙","qiang2","wall",5,1,3.69,3.56,4.86,3.81,3.37,0.68,1.48,0.9,"2.25","3.81",0,1031,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"417","钱包","qian2bao1","wallet",2,2,3.29,3.37,4.69,3.05,4.23,0.7,1.1,0.98,"3.25","4.68",0,1155,NA,NA,NA,NA
"418","洗衣机","xi3yi1ji1","washer",1,3,3.14,3.56,4.19,3.38,2.8,0.88,0.36,0.88,"3.65","5.19",0.09,1100,NA,NA,NA,NA
"419","手表","shou3biao3","watch",1,2,2.98,4.17,4.89,3.14,3.83,0.93,0.38,1,"3.06","2.54",0,787,NA,NA,NA,NA
"420","瀑布","pu4bu4","waterfall",3,2,2.74,3.72,4.22,4.38,2.06,0.98,0,0.98,"3.73","8.27",0.03,986,"5. no evidence for borrowing","Nanbeichao",NA,"Nanbeichao"
"421","喷壶","pen1hu2","watering can",1,2,2.76,3.85,4.33,2.49,2.11,0.3,2.95,0.95,"4.38","4.68",0,1118,NA,NA,NA,NA
"422","水井","shui3jing3","well",1,2,3.12,3.58,3.72,3.67,1.89,0.45,1.75,0.83,"2.63","10.92",0.11,1211,NA,NA,NA,NA
"423","鲸鱼","jing1yu2","whale",5,2,3.55,3.84,3.89,3,2.06,0.38,1.86,0.75,"3.94","10.3",0.09,1281,"5. no evidence for borrowing","Nanbeichao",NA,"Nanbeichao"
"424","车轮","che1lun2","wheel",1,2,2.74,3.23,4.36,3.24,2.74,0.45,1.6,0.98,"2.35","3.41",0.03,901,NA,NA,NA,NA
"425","鞭子","bian1zi3","whip",5,2,3.32,4.11,3.14,2.16,2.06,0.63,1.1,0.8,"3.06","8.88",0.17,1303,NA,NA,NA,NA
"426","哨子","shao4zi3","whistle",1,2,2.65,4.51,4.58,2.08,2.26,0.58,1.4,0.98,"2.69","5.74",0.03,1028,NA,NA,NA,NA
"427","野猪","ye3zhu1","wild boar",2,2,2.19,2.41,2.81,2.81,1.94,0.3,1.98,0.65,"4.38","10.55",0.11,1338,"5. no evidence for borrowing","No information",NA,"No information"
"428","风车","feng1che1","windmill",1,2,2.74,3.86,3.94,4.38,1.84,0.88,0.52,0.93,"3.94","10.41",0.06,1054,NA,NA,NA,NA
"429","窗户","chuang1hu4","window",1,2,2.69,3.03,4.53,2.78,4.24,0.43,1.79,0.7,"1.94","4.73",0,990,NA,NA,NA,NA
"430","酒杯","jiu3bei1","wineglass",1,2,3.52,4.25,4.81,1.81,2.83,0.58,1.57,1,"2.94","10.3",0,809,NA,NA,NA,NA
"431","狼","lang2","wolf",1,1,2.76,3.29,4,2.38,1.91,0.65,1.55,0.68,"2.65","7.45",0.11,1418,"5. no evidence for borrowing","Zhou dynasty",NA,"Zhou dynasty"
"432","毛毛虫","mao2mao2chong2","worm",5,3,2.38,3.86,3.47,4.08,1.94,0.25,2.63,0.45,"2.07","11",0.06,1162,NA,NA,NA,NA
"433","扳手","ban1shou3","wrench",1,2,2.55,3.36,4.53,1.51,2,0.45,1.98,0.78,"5","10.93",0.17,1080,NA,NA,NA,NA
"434","斑马","ban1ma3","zebra",1,2,2.6,4.42,4.42,4.05,1.97,0.98,0,0.98,"4.63","4.12",0.03,835,NA,NA,NA,NA
"435","拉链","la1lian4","zipper",4,2,3.02,3.92,4.14,2.67,3.51,0.88,0.18,0.88,"3.35","6.94",0.17,1140,NA,NA,NA,NA
