"Stimuli","AoA","SD","X","Stimuli.1","FreqSub","SD.1","freq2","cat","phonlength","Borrowed"
"cinq",4.352614016,1.257237114,NA,"cinq",5.035714286,1.477789712,220.61,"ADJ",3,FALSE
"cintre",7.508333333,2.555363977,NA,"cintre",3.892857143,1.13330999,2.91,"NOM",4,FALSE
"cire",8.562847608,2.749388984,NA,"cire",3.321428571,1.055973184,16.02,"NOM",3,FALSE
"cirque",5.245828699,2.140746528,NA,"cirque",3.285714286,1.049061057,18.38,"NOM",4,FALSE
"clair",6.740823137,2.321938382,NA,"clair",5.285714286,1.329359157,104.59,"ADJ",4,FALSE
"clan",9.245828699,3.293852208,NA,"clan",3.857142857,1.380131119,13.51,"NOM",3,TRUE
"claque",5.288097887,1.889415908,NA,"claque",3.928571429,1.358882205,20.14,"NOM",4,TRUE
"classe",4.921023359,1.865360526,NA,"classe",5.464285714,1.346659595,93.78,"NOM",4,FALSE
"clause",12.7753059,3.009661861,NA,"clause",3.035714286,1.07089934,1.01,"NOM",4,FALSE
"clé",5.285873192,1.465003945,NA,"clé",6,1.154700538,35,"NOM",3,FALSE
"clerc",12.24694105,2.841323332,NA,"clerc",2.642857143,1.12921755,5.68,"NOM",4,FALSE
"clic",8,2.791613055,NA,"clic",4.785714286,1.685606669,NA,"NOM",4,TRUE
"clip",10.41935484,2.31079747,NA,"clip",4.714285714,1.356933986,0.61,"NOM",4,TRUE
"clique",9.735714286,3.024041598,NA,"clique",4.178571429,1.785820103,2.84,"NOM",4,TRUE
"cloche",6.102335929,2.228360697,NA,"cloche",3.642857143,1.12921755,21.28,"ADJ",4,TRUE
"cloître",11.60280971,2.80174119,NA,"cloître",2.785714286,1.166099635,6.35,"NOM",6,FALSE
"clone",12.67408231,2.942093469,NA,"clone",3.357142857,1.061595086,0.07,"NOM",4,FALSE
"clope",10.567297,2.766932232,NA,"clope",5.75,1.294575578,2.77,"NOM",4,FALSE
"cloque",9.148809524,3.052227376,NA,"cloque",3.035714286,0.999338405,2.97,"NOM",4,TRUE
"clos",9.586904762,2.595531084,NA,"clos",3.5,1.201850425,27.98,"VER",3,FALSE
"clou",6.599555061,2.07649415,NA,"clou",3.607142857,0.994029797,10.2,"NOM",3,FALSE
"clown",5.527252503,5.286420014,NA,"clown",3.392857143,0.994029797,6.49,"NOM",4,TRUE
"club",8.493882091,1.989758725,NA,"club",4.178571429,1.188013325,18.58,"NOM",4,TRUE
"coche",9.795657727,3.301738608,NA,"coche",3.25,1.109721353,2.1,"NOM",3,TRUE
"code",8.071190211,1.931070236,NA,"code",4.428571429,1.230133128,13.72,"NOM",3,FALSE
