age_score,analyzability,borrowed,borrowed_score,description,id,jsondata,language_pk,markup_description,name,pk,simplicity_score
,,,,guardian spirit,92181432193787815-1,{},147,,daímōn,69793,
,,,,to deny,92181432529595627-1,{},123,,denier (now nier),66392,
,,,,to deny,92181432330253895-1,{},96,,negāre,69732,
,,,,descendant,9218143289154453-1,{},123,,descendant,66000,
,,,,"descendant, someone who goes down",92181432865141828-1,{},96,,"descēnden-s, -tem",69485,
,,,,‘to destroy,92181432655812897-1,{},124,,destruire,66259,
,,,,to destroy,92181432786183013-1,{},194,,dēstrūgere,69645,
,,,,devil,92181432584414293-1,{},96,,diabolus,66471,
,,,,slanderer,92181432463879640-1,{},147,,diábolos,69794,
,,,,to die,92181432761718234-1,{},257,,deyja,66057,
,,,,difficult,92181432688169590-1,{},96,,difficilis,70064,
,,,,to dig,9218143283881481-1,{},123,,diguer,66174,
,,,,ditch,9218143217281281-1,{},12,,dijk,69595,
,,,,"‘to break one’s fast, dine’",92181432621906658-1,{},125,,disner,66101,
,,,,‘to break one’s fast’,92181432306209431-1,{},194,,disjūnāre,69541,
,,,,"dirt, filth",92181432159936243-1,{},257,,drit,66333,
,,,,to disappear,92181432801577710-1,{},123,,désapparaître,66251,
,,,,disease,92181432489690538-1,{},125,,disease,66089,
,,,,"disease, discomfort",92181432925928697-1,{},194,,*dis-asia,69530,
,,,,"board, flat bowl",92181432665637195-1,{},96,,discus,66836,
,,,,"‘dish’, literally ‘something one throws’",92181432760461868-1,{},147,,dískos,69538,
,,,,to divide,9218143281882203-1,{},96,,dīvidere,66306,
,,,,divorce,92181432207661757-1,{},123,,divorce,66952,
,,,,to dissolve a marriage,92181432553046995-1,{},96,,divortiāre,69488,
,,,,doctor,92181432518409512-1,{},213,,docto(u)r,66061,
,,,,physician,92181432418703943-1,{},96,,doctor,69150,
,,,,dolphin,9218143233558595-1,{},125,,delfin,66032,
,,,,dolphin,92181432329061439-1,{},96,,delphīnus,69504,
,,,,post/mail,92181432809952919-1,{},123,,poste,69301,
,,,,"‘that which is placed’, from ponere ‘to put’",92181432374881496-1,{},96,,posita,69590,
,,,,doubt,92181432524682092-1,{},123,,doute,66374,
,,,,"‘doubt’, giving rise to dubitāre ‘to doubt’",92181432662738798-1,{},96,,dubium,69722,
,,,,"‘hill’, ‘hill-fort’",92181432765164079-1,{},80,,*dounon,66283,
,,,,to arrange,92181432291418656-1,{},123,,dresser,66131,
,,,,to arrange,92181432725503261-1,{},194,,*dīrectiāre,69563,
,,,,permission,92181432246242769-1,{},123,,licence,66494,
,,,,‘permission’ (licet ‘it is allowed’),92181432616368087-1,{},96,,licentia,69809,
,,,,eagle,92181432770109233-1,{},123,,aigle,66023,
,,,,eagle,92181432852015003-1,{},96,,aquila,69903,
,,,,lobe,92181432260239772-1,{},96,,lobus,66074,
,,,,lobe (of ear or liver),92181432546190391-1,{},147,,lobos,69948,
,,,,easy,92181432425884987-1,{},124,,aisié,66377,
,,,,‘ease’ (the second part is assumed),92181432707647848-1,{},194,,*ad-asium,69724,
,,,,egg,92181432307144433-1,{},257,,egg,66122,
,,,,choosing,92181432300935098-1,{},123,,election,66496,
,,,,to choose,9218143239783777-1,{},96,,eligere,69812,
,,,,electric,92181432597482707-1,{},194,,ēlectricus,66484,
,,,,amber,92181432417646914-1,{},147,,ēlektron,69801,
,,,,elephant,9218143278472223-1,{},123,,olifant,66016,
,,,,ivory,92181432786709935-1,{},147,,"elépha-s, -ntos",69496,
,,,,‘to embrace’ (now ‘to kiss’),92181432735070684-1,{},123,,embrasser,66335,
,,,,to clasp in the arms,92181432708945748-1,{},194,,*imbracchiāre,69692,
,,,,enemy,92181432572033204-1,{},123,,ennemi,66414,
,,,,"‘enemy’, literally ‘un-friend’",92181432420646134-1,{},96,,inimicus,69753,
,,,,to enter,92181432269669211-1,{},123,,entrer,66239,
,,,,to go in,92181432322516556-1,{},96,,intrāre,69637,
,,,,envy,92181432433549770-1,{},123,,envie,66347,
,,,,envy,92181432460613646-1,{},96,,invidia,67556,
,,,,expensive,92181432670603534-1,{},194,,*expensīvus,66281,
,,,,‘to explain’ (plānus ‘plain or flat’),92181432433596139-1,{},96,,explānāre,66372,
,,,,to put a fire or light out,92181432381501632-1,{},96,,extinguere,65984,
,,,,face,92181432387938341-1,{},124,,face,66071,
,,,,face,92181432863694178-1,{},96,,faciēs,69522,
,,,,fairy folk,92181432368643607-1,{},124,,faierie,66475,
,,,,‘fates’ (pl.),92181432462095365-1,{},96,,fāta,69798,
,,,,"faith, trust",92181432979540549-1,{},124,,fed,66353,
,,,,"faith, trust",92181432969467782-1,{},96,,fidēs,69704,
,,,,falseness,92181432251715058-1,{},123,,falsete,66355,
,,,,"‘false’, ‘failed’ (fallere ‘to fail’)",92181432337032063-1,{},96,,falsus,69706,
,,,,family,92181432380466820-1,{},96,,familia,69888,
,,,,hunger,92181432330719970-1,{},123,,faim,66124,
,,,,hunger,92181432917025493-1,{},96,,fāmēs,69556,
,,,,winnowing fan,92181432186927977-1,{},96,,vannus,66218,
,,,,farmer,9218143272352724-1,{},123,,fermier,66170,
,,,,"farmer, one who operates a firma or concern",92181432138348740-1,{},96,,firmārius,69593,
,,,,fault,92181432370847281-1,{},123,,faute,66357,
,,,,"‘fault, failing’, pst.ptcp from fallere ‘to fail’",92181432616817488-1,{},194,,*fallita,69708,
,,,,female,92181432154081698-1,{},124,,femelle,65988,
,,,,female,92181432939393286-1,{},123,,femelle,66009,
,,,,female,92181432574629109-1,{},96,,fēmella,69476,
,,,,defence,92181432376972509-1,{},123,,défense,66173,
,,,,fever,92181432310515159-1,{},124,,fievre,66087,
,,,,fever,92181432933297424-1,{},96,,febris,69961,
,,,,fig,92181432165385524-1,{},123,,figue,66114,
,,,,fig,9218143247045677-1,{},96,,ficus,72138,
,,,,end,92181432439876884-1,{},124,,fin,66457,
,,,,end,9218143225584751-1,{},96,,finis,70047,
,,,,to finish,92181432626598118-1,{},123,,finir,66315,
,,,,to finish,92181432756600161-1,{},96,,finīre,69680,
,,,,flame,92181432409108129-1,{},96,,flamma,66806,
,,,,flame,9218143288650532-1,{},123,,flamme,66898,
,,,,flat,92181432218623024-1,{},257,,flatr,66297,
,,,,flower (of the flour = the finest flour),92181432693295767-1,{},123,,fleur (de farine),66107,
,,,,flower,92181432246241285-1,{},96,,"flō-s, -rem",69544,
,,,,flower,92181432590490519-1,{},125,,flour,66181,
,,,,flute,9218143234811233-1,{},123,,flahute,66397,
,,,,’flute’,92181432343825091-1,{},246,,flaüt,69737,
,,,,"print, impression",92181432791686188-1,{},213,,prente,66079,
,,,,to press,92181432648577839-1,{},96,,premere,69524,
,,,,forest,92181432429464974-1,{},123,,forêt,65971,
,,,,pertaining to an outside area,92181432125055754-1,{},96,,forestis,69467,
,,,,smithy,92181432547735901-1,{},123,,forge,66213,
,,,,#manufactured object’,92181432781810178-1,{},96,,fabrica,69621,
,,,,forked branch,92181432157483089-1,{},96,,furca,62362,
,,,,fortress,9218143263137872-1,{},123,,forteresse,67739,
