ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
36307,oldh1241,Old High German,1085,to follow,10-52,folgên,,,764105140882442,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36308,oldh1241,Old High German,1047,to pursue,10-53,âhten,,,764107847466378,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,chase-VBLZ,verb,,,,,,,,,,,
36309,oldh1241,Old High German,1387,to arrive,10-55,anaqueman,,,764109289822456,5. no evidence for borrowing,0.0,analyzable compound,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,on-come,verb,,,,,,,,,,,
36310,oldh1241,Old High German,1778,to approach,10-56,nâhen,,,7641011361329802,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,near-VBLZ,verb,,,,,,,,,,,
36311,oldh1241,Old High German,749,to enter,10-57,ingangan,,,7641012240543610,5. no evidence for borrowing,0.0,analyzable compound,0.5,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,in-go,verb,,,,,,,,,,,
36313,oldh1241,Old High German,700,to carry,10-61,tragan,,,7641013103789835,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36314,oldh1241,Old High German,692,to bring,10-62,bringan,,,7641014358912171,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36315,oldh1241,Old High German,1127,to send,10-63,senten,,,7641015920514249,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36316,oldh1241,Old High German,43,to lead,10-64,leiten,,,7641016142984114,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36317,oldh1241,Old High German,741,to drive,10-65,trîban,,,7641017620311592,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36318,oldh1241,Old High German,367,to ride,10-66,rîtan,,,7641017458418231,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36319,oldh1241,Old High German,1452,to push,10-67,skioban,,,7641018227948368,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,verb,,,,,,,,,,,
36320,oldh1241,Old High German,667,the road,10-71,weg,,,7641019717137707,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36321,oldh1241,Old High German,2252,the path,10-72,pfad,,,7641020220554172,4. very little evidence for borrowing,0.25,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,perhaps Celtic loanword,,,,,
36322,oldh1241,Old High German,1011,the bridge,10-74,brugga,,,764102193822285,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36323,oldh1241,Old High German,122,the cart or wagon,10-75,wagan,,,7641022216661213,5. no evidence for borrowing,0.0,analyzable derived,0.5,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,move-NMLZ,noun,,,,,,,,,,,
36324,oldh1241,Old High German,710,the wheel,10-76,rad,,,7641025190562184,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36325,oldh1241,Old High German,1769,the axle,10-77,ahsa,,,7641026311772224,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36326,oldh1241,Old High German,14,the yoke,10-78,joh,,,7641027476050494,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36328,oldh1241,Old High German,740,the ship,10-81,"skif, skef",,,764102840180533,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36329,oldh1241,Old High German,1844,the boat,10-83,flôzskip,,,7641029728260705,5. no evidence for borrowing,0.0,analyzable compound,0.5,Pre-Old-High-German,None,Pre-Old-High-German,,0. No evidence for calquing,,,,,,float-ship,noun,,,,,,,,,,,
36330,oldh1241,Old High German,1970,the canoe,10-831,nahho,,,7641030556938317,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36331,oldh1241,Old High German,1664,the raft,10-84,flôz,,,7641034119150012,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,float-NMLZ,noun,,,,,,,,,,,
36332,oldh1241,Old High German,108,the oar,10-85,ruodar,,,764103654184919,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36333,oldh1241,Old High German,1849,to row,10-852,ruodarôn,,,7641038589027360,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,oar-VBLZ,verb,,,,,,,,,,,
36334,oldh1241,Old High German,108,the rudder,10-86,ruodar,,,764103654184919,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36335,oldh1241,Old High German,184,the mast,10-87,mast,,,7641040245172864,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36336,oldh1241,Old High German,786,the sail,10-88,segal,,,7641041222030814,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
36337,oldh1241,Old High German,1870,the anchor,10-89,senkil,,,7641042771213592,5. no evidence for borrowing,0.0,analyzable derived,0.5,Pre-Old-High-German,None,Pre-Old-High-German,,0. No evidence for calquing,,,,,,lower-NMLZ,noun,,,,,,,,,,,
