ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
C301_BODO_1,C301 Bodo 1,,6.0,26.0,bodo1272,boy
C36d_LINGALA_2,C36d Lingala 2,,2.0,18.5,ling1263,lin
C36e_BOLOKI_NGIRI,C36e Boloki Ngiri,,0.83,18.42,bolo1262,bkt
C45_LEBEO,C45 Lebeo,,1.75,25.0,ngel1238,agh
C75_KELA,C75 Kela,,-1.33,24.0,kela1254,kel
C80_MBINGI,C80 Mbingi,,-4.5,21.5,bush1247,buf
C80_SHUWA,C80 Shuwa,,-4.5,21.5,bush1247,buf
C81_DENGESE,C81 Dengese,,-3.25,21.67,deng1250,dez
C831_ILEBO,C831 Ilebo,,-4.5,21.5,bush1247,buf
C84_LELE_LUHILEEL_2,C84 Lele Luhileel 2,,-5.0,20.67,lele1265,lel
C84_LELE_LUHILEEL_3,C84 Lele Luhileel 3,,-5.0,20.67,lele1265,lel
C84_LELE_LUHILEEL_4,C84 Lele Luhileel 4,,-5.0,20.67,lele1265,lel
CAGA_KILEMA,Caga Kilema,,-5.0,39.0,sege1246,seg
CAGA_KIWOSO,Caga Kiwoso,,-5.0,39.0,sege1246,seg
CENTRAL_KENYANG,Central Kenyang,,5.67,9.5,keny1279,ken
CEWA,Cewa,,-14.0,34.0,nyan1308,nya
CHILOMWE,Chilomwe,,-15.67,37.0,lomw1241,ngl
CHINGONI,Chingoni,,-11.0,36.0,ngon1269,ngo
CHOKWE,Chokwe,,-6.67,20.0,chok1245,cjk
CHONYI,Chonyi,,-3.72,39.75,chon1287,coh
CHUKA,Chuka,,-0.27,37.61,chuk1274,cuh
CHUWABU,Chuwabu,,-17.33,37.0,chuw1238,chw
CHWAKA,Chwaka,,-4.6,39.32,giry1241,nyf
CIYAWO,Ciyawo,,-14.5,35.5,yaoo1241,yao
CONI,Coni,,-3.5,39.67,giry1241,nyf
CUNG,Cung,,6.58,10.42,cung1238,cug
D14_ENYA,D14 Enya,,-0.5,25.25,enya1247,gey
D27_BANGUBANGU_MUTINGWA,D27 Bangubangu Mutingwa,,-6.0,28.0,bang1350,bnx
D28_HOLOHOLO,D28 Holoholo,,-5.17,29.92,holo1240,hoo
D55_BUYU,D55 Buyu,,-4.67,28.33,buyu1239,byi
DAWIDA,Dawida,,-4.0,38.67,tait1250,dav
DCIRIKU,Dciriku,,-18.33,21.67,diri1252,diu
DENYA_BAJWO,Denya Bajwo,,6.0,9.42,deny1238,anv
DENYA_BASHO,Denya Basho,,6.0,9.42,deny1238,anv
DENYA_BITIEKU,Denya Bitieku,,6.0,9.42,deny1238,anv
DENYA_TAKAMANDA,Denya Takamanda,,6.0,9.42,deny1238,anv
DE_WUNGTSE,De Wungtse,,6.67,11.0,ndak1242,ncp
DHAISO,Dhaiso,,-4.83,38.83,dhai1238,dhs
