item	n_trials	err	rt	sd	rtz	n_used
venre	21	0.047619048	781.35	150.3610654	0.02472888	20
heumoge	21	0.047619048	701.9	190.1838169	-0.550511207	20
relascurge	20	0	815.85	270.5003697	-0.204554083	20
péprenrais	24	0	982.8695652	285.6828032	0.78868387	23
vicutemait	23	0	803.4347826	192.2635091	0.003500932	23
ruté	21	0.333333333	816.5384615	117.7742299	0.083598424	13
agurait	21	0	816.25	253.8362247	-0.041411327	20
concupole	25	0.04	839.8333333	233.2676512	0.055182138	24
vraitacespiers	22	0	887.5	255.5672961	0.494782254	22
hourtion	23	0.043478261	756	199.5807511	-0.20153388	22
ricit	22	0.045454545	754.6190476	136.9793693	-0.178004258	21
renlisons	21	0.047619048	896.3529412	269.2050662	0.33007555	17
monveille	21	0	749.3	142.2633215	-0.145001206	20
vitonaient	22	0.090909091	833.3	173.2303304	0.104995508	20
dençait	21	0.142857143	827.2777778	169.9248296	0.160216251	18
almenfétaient	23	0	886.6363636	281.089131	0.374306677	22
lunis	20	0.2	777.1333333	188.0706048	-0.151544137	15
ditatires	25	0.08	984	267.8652824	0.875593011	22
prérie	21	0.285714286	858.9333333	262.5371992	0.250846481	15
bouboucerprodre	24	0	831.9090909	262.5662563	0.114704201	22
cifier	22	0	806.8636364	195.2088736	-0.124468116	22
heufitain	20	0	713.5	161.8259299	-0.319415526	20
rédéon	22	0	651.5714286	125.5458368	-0.723534561	21
roritour	25	0	676.92	147.888449	-0.705151478	25
boudeaux	24	0.208333333	976.2222222	240.303131	0.881099599	18
pseuille	21	0	780.5714286	173.7776083	-0.288875648	21
espartés	24	0.25	920.6666667	334.38706	0.457384453	18
asaient	24	0.125	897.2857143	277.5154307	0.497245491	21
pluo	20	0.05	755.1578947	186.6825181	-0.26755684	19
parpaprétas	23	0.043478261	880.7727273	252.2598682	0.457075611	22
uter	23	0	672.6956522	173.2686917	-0.623178526	23
aincoumes	23	0	742.4782609	224.8393102	-0.455154518	23
inquel	21	0	699.6666667	152.9569656	-0.666068653	21
jourvait	21	0	757.2	137.0860659	-0.288732284	20
herche	22	0.045454545	716.3809524	145.7266195	-0.385205717	21
rematére	21	0	840.3809524	314.2214945	0.12195845	21
altafe	21	0	727.3333333	178.385631	-0.37090198	21
ménait	22	0.772727273	1025	168.746358	1.324518636	4
homopésuler	23	0	956.9565217	269.5456578	0.807637064	23
champlégarles	22	0.045454545	802.4761905	232.3010157	0.072591219	21
bougaricesait	21	0.047619048	773.1	246.5675737	-0.179076311	20
reléte	21	0.047619048	883.9	203.9561098	0.575438451	20
ailiriconfaire	22	0	912.2727273	321.7742749	0.494920986	22
troutatuler	23	0	887.2608696	257.0762564	0.338079057	23
lamer	24	0.5	880.7272727	176.6448929	0.604088217	11
paplitros	25	0	790.92	246.7192939	-0.244530839	25
aprotise	21	0	788.2380952	220.3040864	0.014166091	21
corvoya	22	0.136363636	887.9473684	218.915629	0.192683295	19
chandité	22	0.090909091	806.95	208.5573189	0.205458971	20
griant	23	0.260869565	944.2352941	262.5210776	0.493769553	17
garnineux	24	0.041666667	939.0434783	314.196302	0.78275974	23
frouffle	23	0	794.2727273	196.6525052	0.043397742	22
onferras	22	0	718.047619	247.3680408	-0.38820297	21
lension	21	0.047619048	806.6	231.6818145	0.093854725	20
bunis	23	0.130434783	741.65	145.0870066	-0.501798685	20
étourfler	24	0.083333333	897.1818182	227.7621224	0.53674189	22
persiende	21	0	716.4736842	187.1061399	-0.382671251	19
guitte	21	0.095238095	841.4736842	198.1097811	-0.053287441	19
timantent	24	0	841.1666667	203.4243085	0.180191513	24
essiquer	25	0.04	781.7272727	220.1530164	0.091716422	22
brivatron	23	0.043478261	711.5	146.9268525	-0.538212582	22
enréne	25	0.04	768.0833333	230.8196956	-0.288214168	24
empace	23	0.043478261	818.0909091	188.9247543	0.258412169	22
hergeait	23	0.086956522	757	148.3420656	0.096209242	20
routipliants	24	0	892.5217391	297.7684991	0.461936542	23
outrivienre	24	0	793.9583333	270.5595617	0.061482141	24
ablive	23	0.043478261	669.2272727	142.2914286	-0.472593244	22
voumantément	24	0.041666667	932.8636364	290.2098248	0.284170791	22
psube	22	0	687.9090909	168.2763909	-0.446967378	22
husorlaient	22	0	855.3181818	200.3576294	0.197244304	22
inorop	21	0	734.7619048	183.6877527	-0.466811088	21
hompaient	21	0.095238095	795.9473684	170.2349597	-0.111859491	19
casorre	23	0	671	154.1542911	-0.675333551	23
mestion	23	0.130434783	715.1	113.2305055	-0.361975202	20
sounivers	24	0	868.0416667	236.2584214	0.099709799	24
pasmanté	22	0	935.0909091	331.8517898	0.587047556	22
aitenres	23	0.043478261	746.3809524	248.4605555	-0.433869277	21
hanvre	25	0.04	760.7916667	242.2268034	-0.122821028	24
pètrevait	22	0	960.8636364	283.1977763	0.565921959	22
domoment	23	0	788.7272727	159.0807467	0.145688775	22
asisconse	22	0.045454545	732.2857143	188.1236675	-0.30899876	21
padinisir	21	0	774.4285714	176.7601684	-0.086024386	21
aciléson	21	0	741.6666667	136.1654631	-0.382116808	21
suinripécent	22	0	855.3809524	264.1087799	0.313589261	21
ailemment	23	0.043478261	901.2941176	222.1105481	0.751331476	17
troumitéloir	18	0	686.2352941	97.31683398	-0.634225219	17
vilepin	24	0.083333333	809.5714286	251.9643966	0.321508336	21
poutétait	24	0	857	233.5741201	0.294757407	24
pourtasait	20	0	814.6	170.0412953	0.324326772	20
pedime	24	0.041666667	678.173913	128.101044	-0.550096267	23
valfamir	24	0	790.2083333	255.9247476	-0.319283619	24
soufise	23	0.043478261	753.6363636	133.5131688	-0.466589687	22
mêlet	23	0.173913043	933.1052632	223.8116507	0.735687209	19
asmervet	24	0	730.1666667	182.5764085	-0.462421958	24
souroutez	24	0	915.5652174	226.7545381	0.604410084	23
beuthotenlait	24	0.041666667	764	173.5401447	-0.143538889	23
toumiterce	24	0.083333333	733.7619048	177.1123668	-0.495307731	21
seuséneux	22	0.045454545	803.2380952	158.417772	-0.237947497	21
reléceste	22	0.045454545	832.2	227.1010904	0.079788746	20
pauconstais	21	0	779.5714286	249.6853162	-0.258349513	21
arfiée	21	0	810	185.0055476	0.186136902	20
ligard	25	0.12	725.5909091	241.35326	-0.406096793	22
barimeuvertait	25	0	850.48	262.5046222	-0.000868641	25
connorvec	24	0	692.625	151.0064244	-0.546378896	24
otendre	21	0	770.1904762	205.4710732	-0.071799634	21
esbarse	24	0.083333333	704.7272727	143.9623568	-0.570001205	22
trontions	23	0.086956522	790.3809524	207.0008397	0.025160886	21
rementapala	24	0.083333333	820.8571429	240.6549991	0.027182767	21
essacard	24	0.041666667	875	272.4111198	0.331739619	23
cougnivais	24	0.083333333	780.7727273	220.1914604	-0.091026812	22
jumete	23	0	742.7391304	162.039899	-0.118229784	23
forcousion	24	0	775.9583333	222.2801756	-0.038544769	24
silotéce	20	0.05	842.5555556	249.4073498	0.028115736	18
toilastrailler	23	0.043478261	858.0454545	282.1786798	0.248465658	22
parnaît	23	0.130434783	915.35	250.0914096	0.601989254	20
abantision	22	0	876.4090909	238.4878272	0.398428401	22
enchicha	23	0.130434783	922	234.8533822	0.712525639	19
achivers	24	0.25	909.7333333	326.3658041	0.684296143	15
ilait	23	0	825.8695652	219.9955174	0.035730764	23
ébondrais	23	0.086956522	867.8571429	237.7730611	0.300309468	21
commar	22	0	746.5454545	165.3771238	-0.263295423	22
compreure	23	0.086956522	850.5238095	122.3460743	0.166674965	21
grome	23	0.086956522	870.3809524	227.6638918	0.415742766	21
apsellare	23	0	707.1304348	106.9436149	-0.549996367	23
corlament	21	0	792.8421053	195.8512086	-0.069701387	19
mémapreuche	22	0	804.85	177.9181583	-0.071263599	20
tercencent	23	0	785.1304348	131.0295957	-0.033960013	23
favenque	24	0	731.9166667	241.9126534	-0.552919329	24
atraistrer	23	0.043478261	829.2380952	326.7071938	0.105091033	21
tipavele	23	0	698.0434783	164.7702197	-0.39424628	23
claravaimi	23	0	734.0434783	150.7392325	-0.421416926	23
fisulsate	25	0.04	916.9130435	337.5964392	0.27858099	23
atéla	24	0.041666667	863	215.2356405	0.390470494	22
brecrotés	21	0.095238095	757.0526316	141.3791096	-0.259787989	19
apiteau	22	0	714.5	130.6532124	-0.627832908	22
screuple	22	0.045454545	754.952381	303.2437099	-0.30387978	21
prédisi	22	0.090909091	729.4210526	188.1737719	-0.388765665	19
rousacrit	22	0.045454545	749.4285714	147.1341468	-0.305296362	21
retin	25	0	717.52	223.6090562	-0.479211038	25
évandre	20	0.1	832.3333333	281.3785393	0.004574576	18
luproguer	21	0.047619048	812	234.919247	-0.301493737	20
reproutes	21	0.095238095	795.3157895	149.0052395	-0.145719731	19
carrir	24	0.125	956.5238095	289.9937274	0.58881707	21
jeubla	21	0.047619048	770.7	243.5399243	-0.141441653	20
armame	24	0.041666667	753.8695652	181.0994966	-0.256735407	23
porsinne	23	0	694.3478261	205.1016619	-0.478151059	23
gralors	21	0	700.4285714	120.7267872	-0.598065431	21
ourche	22	0	753.5454545	213.1640833	-0.352110105	22
restrire	22	0	804.6190476	181.3707463	-0.026280009	21
mitait	24	0.208333333	939.1052632	303.3942969	0.491175134	19
vilutamé	23	0	885.173913	331.6758621	0.186607507	23
pordant	25	0.08	772.9047619	160.4278357	0.208220246	21
préféton	20	0.05	910.1052632	362.9702918	0.353990757	19
entièglicrètre	22	0	909.0454545	254.225149	0.610559794	22
éracces	23	0.043478261	733.8636364	164.9471186	-0.191281967	22
acladasard	23	0	781.5652174	203.2326983	-0.064749357	23
southonus	22	0.045454545	770.3809524	291.8416482	-0.229267683	21
éclave	23	0.52173913	1106.363636	404.3986332	1.226756255	11
sertiprire	23	0	716.3043478	248.4057229	-0.413117139	23
ausclacouai	24	0	826.3043478	295.50472	0.124545093	23
mapréments	22	0.045454545	834.3809524	190.8301539	0.230357442	21
arproquetcheur	22	0	893.6666667	267.1694843	0.247672437	21
nobannue	22	0	706.0454545	190.030443	-0.52242843	22
dédis	23	0.52173913	1004.727273	349.7064743	0.834041909	11
appépe	22	0.045454545	685.3333333	106.3072591	-0.600290673	21
celencez	22	0.090909091	847.7	314.8628941	-0.179321292	20
ortertion	23	0	727.2272727	155.916929	-0.410486227	22
maputenviens	25	0	758.8333333	247.1237442	-0.240913452	24
panteur	22	0.181818182	889.4444444	235.4058379	0.51702912	18
heuselard	24	0.041666667	746.9545455	188.1993566	-0.334602103	22
sourimerpe	22	0.045454545	780.4285714	281.1420587	-0.243367442	21
pasceur	22	0	783.0454545	168.0704153	0.064289898	22
montion	22	0.090909091	823.55	130.9248378	0.274023104	20
effin	23	0.173913043	717.4736842	156.900311	-0.539441745	19
laistulier	24	0	775.0833333	232.0621949	-0.297440744	24
grantoisuge	21	0	717.5714286	156.4118191	-0.427887155	21
pronué	23	0.043478261	907.0909091	231.606791	0.245448094	22
éconrer	22	0	825.85	257.5927579	0.09319649	20
parnorté	22	0.045454545	779.2380952	213.9235622	0.028313887	21
lisuadismiers	20	0	907.55	196.4250158	0.325819137	20
téchappoprès	21	0.047619048	885.4210526	338.1742345	0.2387765	19
schiande	21	0	710.5714286	188.8225546	-0.576502954	21
ainriensait	23	0	956.5	371.5693552	0.404979239	22
prope	22	0.227272727	900.2941176	203.0845774	0.958667319	17
ouportait	23	0	811.05	211.5751639	-0.116930597	20
chafareux	22	0.045454545	829.8095238	302.8439564	-0.022986249	21
gauverre	21	0	742.2380952	132.3472345	-0.292298367	21
rantôt	20	0.05	754.1052632	147.7989982	-0.179966072	19
touphants	22	0	802.7727273	187.4635029	0.099788295	22
faigrare	24	0	734.5	155.5794219	-0.147674918	24
spruigne	22	0.045454545	665.047619	122.4987658	-0.803992988	21
milémer	24	0	747.125	188.9898347	-0.230694552	24
amoitour	24	0	712.3043478	205.2633419	-0.533236213	23
verramorrieux	24	0	833.9166667	240.1084749	0.11024128	24
dodontatetié	25	0	902.2	237.3927828	0.501777261	25
érue	24	0.125	828.6666667	175.700977	0.245879745	21
pargneuleurs	25	0	748.64	113.6540364	-0.150239447	25
rebrasmoutu	22	0	797.7272727	163.9196034	-0.177091737	22
rotiètrane	22	0.045454545	756.4285714	227.1597613	-0.324487169	21
arteurs	24	0.083333333	754	247.3081074	-0.12227566	21
étorer	23	0.043478261	767.6363636	108.1328748	-0.337837306	22
écenlet	24	0	793.2173913	249.5344677	-0.190308154	23
escueilte	23	0.043478261	782.2727273	212.0984008	-0.143928454	22
carmodansait	23	0.043478261	914.4090909	314.8826931	0.576091213	22
sphion	24	0.083333333	663.0454545	93.29955712	-0.592781842	22
malpage	20	0	872.3	275.3336923	0.390577484	20
acoqua	22	0.045454545	639.3333333	108.355126	-0.841285086	21
lapeles	23	0	782.2173913	224.9448329	-0.097340773	23
donnadu	24	0.041666667	756.826087	161.1765413	-0.123042259	23
taute	19	0.052631579	721.6470588	69.42256583	-0.251238409	17
prépartres	25	0.04	929.8636364	201.5734051	0.79558352	22
olertait	22	0	743.0454545	223.509556	-0.280465767	22
tradiol	23	0	640.6086957	78.9025516	-0.723673096	23
premate	22	0	716.2272727	134.1129346	-0.529439902	22
pomteau	21	0.047619048	790.1	150.2523842	-0.251685705	20
boigible	21	0	762.4761905	183.8982379	-0.209800024	21
chiposerts	21	0	789.7619048	243.0584096	-0.369863258	21
sussante	22	0.090909091	894.6666667	273.1521877	0.317109829	18
chancer	23	0.47826087	1018.090909	171.6475776	0.932253893	11
dorcrinant	21	0.047619048	882.25	246.7352886	0.524644259	20
brusocend	23	0	650.5217391	152.0277695	-0.71525117	23
sisenge	19	0	714.6842105	141.3883748	-0.379369011	19
licrudroit	24	0	773.3333333	320.2478207	-0.288727838	24
mertraorberre	23	0	755.9565217	281.923342	-0.193538261	23
naistide	25	0.04	710.8333333	162.2704845	-0.471973782	24
fercoubles	25	0.04	777.875	222.9147454	-0.077050102	24
forclivait	21	0.047619048	726.9	165.197139	-0.192009908	20
aisosie	24	0	825.5	297.33863	0.011609399	24
dérébin	23	0	746.9565217	163.0213255	-0.316332588	23
apacrile	23	0	760.7391304	303.0930276	-0.33641547	23
toursarlés	20	0	698.45	141.91824	-0.563013813	20
maisais	20	0	782.4	212.9258334	-0.095963443	20
huidu	22	0	690.4090909	212.6731584	-0.656444826	22
austaufléti	22	0	734.1818182	172.7763863	-0.563391018	22
raituce	25	0	700.1666667	162.0141343	-0.487355014	24
corcines	24	0	824.625	244.0906483	0.148959487	24
tourchideme	25	0	836.96	251.7572376	0.064058942	25
copatatis	21	0.047619048	862.65	265.3905315	0.25230416	20
reral	24	0	660.2083333	134.960535	-0.682785493	24
ennonnaient	25	0	1059.708333	260.4869152	1.049330193	24
dénipiltions	23	0	850.2727273	225.0384479	0.359510304	22
fussie	20	0.2	822.6875	154.4062688	-0.125058815	16
parsés	21	0.142857143	822.8333333	197.2383598	0.321500174	18
perinuer	24	0	833.2608696	221.1230051	0.320525709	23
pauracte	23	0.043478261	707.9545455	112.6564425	-0.479760245	22
exate	21	0.333333333	895.0714286	207.757797	0.499984221	14
scrareilme	23	0	755.173913	227.072606	-0.272682966	23
bildibice	20	0.05	773.3684211	183.545093	-0.377607982	19
trateres	24	0.041666667	738.3913043	241.5526931	-0.071169024	23
aptaler	25	0	826.08	254.1272516	-0.122631582	25
tartat	23	0.130434783	781.75	180.3116819	-0.299962065	20
toursonre	24	0	709.4583333	184.4092752	-0.524791917	24
atinée	19	0	802.8421053	106.6636787	0.101866292	19
railitrourieur	23	0.043478261	864.9	221.6602189	0.429305525	20
escouviens	24	0.041666667	841.1304348	258.3189192	-0.010017285	23
arni	21	0.142857143	783	184.7472041	-0.110658189	18
vesterme	20	0	709.5789474	129.3454959	-0.462312535	19
anlerent	23	0	763.9130435	242.3933529	-0.29429742	23
arvoyansion	22	0.045454545	809.0952381	274.2757563	0.095003674	21
repala	20	0.15	804.8823529	188.4979716	0.376695431	17
courimenne	22	0	748	160.1020508	-0.315098607	22
arfirtre	23	0	848.0434783	267.1564877	-0.052793539	23
coufre	23	0.086956522	773.1904762	165.0365472	-0.186203645	21
lourmer	23	0	717.3913043	121.699234	-0.396705136	23
rère	25	0.04	780.5416667	186.6445073	-0.239777067	24
connévait	25	0.16	964.3333333	308.3054222	0.533598831	21
impurain	20	0.05	811.8333333	164.3777035	0.069462646	18
surtises	24	0	840.625	237.5325721	0.089471757	24
juée	24	0.125	899.3333333	159.2640365	0.663050192	21
planitrouphe	24	0	975.3333333	266.9210381	0.618018637	24
sige	22	0.045454545	760.5238095	156.4313329	0.016342454	21
nourvitalper	21	0.047619048	702.05	177.8729514	-0.346895782	20
phrièvre	23	0	733	171.984143	-0.532484579	23
patuatentrait	23	0.043478261	849.05	234.4506401	0.26200344	20
déveltiprès	19	0	786.6842105	211.0123884	0.165986499	19
ititrames	23	0.043478261	748.8181818	201.4907859	-0.331519071	22
briletenques	23	0.043478261	829	244.5292854	0.092054071	22
aititage	25	0	852.28	190.848439	0.333623184	25
doctende	23	0	811.826087	291.3285637	-0.058032138	23
boucrédeur	21	0	821.2380952	270.9940783	0.032879336	21
prolussasce	22	0	932.2272727	301.4218578	0.373213857	22
enserpaient	24	0	956.2083333	336.7729178	0.563659819	24
sopatrer	22	0.045454545	781.6666667	250.0256653	-0.082178972	21
antrirut	23	0	716.7826087	151.9323882	-0.343447065	23
dévenir	20	0.65	1101.571429	269.4041927	1.569400531	7
fum	23	0.043478261	843.0454545	225.6528048	0.414458516	22
tuete	24	0	702.7826087	122.2467536	-0.265870674	23
enlitiment	24	0.041666667	844.952381	258.4299666	0.297183576	21
sacése	24	0	744.5	125.1427012	-0.00466032	24
farie	21	0	816.7142857	192.6785258	0.132540558	21
bloue	24	0.416666667	956.8461538	227.2241354	0.902044982	13
ailèleil	25	0	795.04	241.0555745	-0.303745848	25
flation	22	0.181818182	850.0555556	208.5113827	0.308102605	18
scrinthe	23	0.043478261	842.4090909	257.4454467	0.076859634	22
imantions	22	0	831.5238095	231.8231263	0.047671282	21
saimile	24	0.041666667	776.9130435	184.7956889	-0.258328535	23
menval	23	0	792.826087	192.4258186	-0.159317364	23
mouiltervec	24	0	704.6666667	187.7956027	-0.50283025	24
samureux	22	0.136363636	835.7368421	183.0558027	0.230873967	19
faitenvait	23	0.043478261	735	195.8235357	-0.240832893	22
hablisislait	23	0.043478261	920.5454545	323.702204	0.630899327	22
tarque	26	0.076923077	788.0434783	133.6458952	0.179931294	23
féconte	24	0.291666667	928.2941176	184.6560196	0.642890268	17
auponvais	23	0	727.4782609	147.1106169	-0.440436718	23
accition	23	0	951.3043478	279.2023435	0.273063277	23
étoir	25	0.16	754.6190476	157.4466501	-0.191924134	21
groine	24	0.041666667	756.0869565	205.3787882	-0.215871122	23
reloir	23	0.086956522	754.9047619	205.9033523	-0.125695303	21
hommier	22	0	794.6818182	172.8890055	0.014666096	22
reverpalone	23	0	674.9090909	82.87794186	-0.516282614	22
renvandes	25	0.16	869.5714286	196.9366831	0.172573606	21
sidier	24	0	721.9583333	194.4844867	-0.495488664	24
remondre	22	0.090909091	880.4210526	145.6931005	0.479936564	19
nourrose	23	0	821.6086957	251.7671614	-0.050699332	23
encocoua	23	0	729.6956522	142.8764357	-0.323000088	23
coutoiténe	23	0.043478261	765.2727273	162.5543665	-0.310607996	22
escrége	22	0	770.3809524	206.3253441	0.016130508	21
entro	23	0	718.7826087	147.4473578	-0.521230005	23
désirie	24	0.166666667	863.4210526	177.8786465	0.367555513	19
vadalenterlir	21	0	875.8421053	237.8704744	0.209003536	19
entrésins	22	0.045454545	800.952381	193.0467498	-0.055443195	21
cetroment	23	0.043478261	749.0909091	206.3081166	-0.143040793	22
partersa	21	0	814	243.1250707	-0.083378624	21
gitre	24	0	776.1666667	121.0338317	-0.043869872	24
harpivais	23	0	783.6521739	218.7004196	-0.015988309	23
cofantre	24	0	753.3043478	214.946174	-0.297422434	23
pasmenle	22	0	700.1904762	109.6187115	-0.660863136	21
porgisque	21	0	679.65	132.7301477	-0.462117692	20
soufants	23	0.173913043	903.3529412	279.347217	0.517433907	17
courvervais	23	0.086956522	849.7	227.7484993	0.327690772	20
stalse	24	0.041666667	744.9565217	162.1170952	-0.427147038	23
extivers	20	0.05	852.7368421	242.1174743	0.073193581	19
asmigieux	22	0.045454545	722.4761905	116.4566954	-0.267483106	21
pourlenque	23	0	743.1304348	271.441322	-0.357246671	23
afairont	21	0.142857143	829.3333333	213.326593	0.427934902	18
detrasait	24	0.083333333	983.7619048	248.0693259	1.049046494	21
airover	22	0	785.7727273	156.6263165	-0.290241811	22
chotentrisé	19	0	812.3157895	220.4820609	0.347419757	19
reveteau	23	0	760.3181818	189.6519083	-0.236458757	22
maplemidiné	23	0.043478261	812.9545455	223.0913708	-0.145142618	22
marconnitait	25	0	1028.083333	234.3980109	1.054172809	24
enreaux	24	0	751.125	243.960138	-0.278676719	24
blanchanles	21	0.095238095	1078.222222	295.540692	1.426862291	18
viculs	22	0	758	182.238201	-0.264254776	22
éprendain	25	0	783.8	251.5745416	-0.091509169	25
lotourterle	21	0	807.0952381	192.697666	-0.006902077	21
mastitais	23	0	906.6363636	256.6783322	0.479661956	22
vestins	23	0.086956522	837.6315789	103.917815	0.097434236	19
ennéble	24	0.041666667	776.0434783	137.8182196	-0.079140592	23
desporme	24	0	761.0416667	135.7403145	-0.174513272	24
découve	24	0.375	1000.846154	154.7195561	0.843457632	13
sareurs	21	0.047619048	735.95	168.7154175	-0.375747036	20
atomeaux	22	0	805.2272727	194.2315584	-0.085731715	22
pouée	21	0.238095238	862.9375	154.0638261	0.330256219	16
forture	22	0.363636364	1031	249.8719672	1.107457487	14
érivés	24	0.125	865.6	168.2577597	0.635446997	20
triz	21	0	752.6190476	192.9345682	-0.377310103	21
amairai	21	0.19047619	915.2	296.8350191	0.806714466	15
fitiverversais	20	0	789.0526316	195.9706536	-0.125951482	19
amitant	24	0	862.7083333	215.7670804	0.301125229	24
besproudent	22	0.045454545	738.8095238	177.5912777	-0.162291804	21
gescha	23	0.130434783	830.05	310.0364113	0.051231692	20
pasez	23	0.130434783	823.0555556	157.4078525	0.150690039	18
donnal	24	0.083333333	761.8636364	219.1692748	-0.331324801	22
maquemins	21	0.047619048	918	303.2787497	0.566118783	18
chatoileur	24	0.125	763.1904762	214.7304401	-0.299359678	21
haporrébles	24	0	763.7083333	225.0264678	-0.175152554	24
queltendrent	22	0	763.7727273	171.1846488	-0.193677263	22
bâiltreferçait	19	0	897.9473684	335.5122905	0.523159597	19
demanles	23	0	756.7391304	145.7457991	-0.355118568	23
parcienque	22	0.045454545	785.9047619	172.3661524	-0.018156405	21
savaigalait	23	0	932.0869565	319.9116232	0.349363379	23
herde	25	0.08	742.6521739	179.2627854	-0.19806455	23
cettrouté	23	0	732.2608696	289.6554721	-0.419071806	23
pastait	21	0.095238095	816.4736842	258.7970823	0.584580518	19
sateau	23	0	757.6956522	138.322888	-0.087996718	23
choprenlait	22	0	813.6818182	246.8617092	-0.159142958	22
daie	21	0.19047619	861.5294118	240.8526826	0.319537138	17
deportendinin	23	0	792.9565217	316.7120112	-0.016210221	23
dave	23	0.043478261	769.8636364	201.0316951	-0.237620119	22
duer	24	0.333333333	785.9375	156.6688519	0.097352507	16
truicide	24	0.333333333	995.3333333	215.8566544	0.978384819	15
poudoure	22	0.045454545	749.1428571	178.0907874	-0.176474999	21
strongle	21	0	942.8571429	337.9797754	0.348131425	21
rédonvait	24	0.041666667	954.4782609	247.2778837	0.459035412	23
recomes	21	0	737.6666667	228.9312852	-0.451024791	21
masquis	23	0.304347826	992.8	287.2503139	1.030262404	15
itourles	22	0	664.5	178.3599224	-0.777592028	22
laiscrile	21	0	716.0952381	101.6650898	-0.634945046	21
cettilicutagua	23	0	715.4090909	145.3644546	-0.321032921	22
atrousice	23	0	680.3478261	128.0495674	-0.515295003	23
carvisait	23	0.086956522	832.6	156.9003707	0.09598219	20
prouffre	22	0	764.3636364	153.8105035	-0.320815373	22
némièse	20	0.1	761.6666667	225.8328377	-0.167957175	18
baltrot	23	0.043478261	833.7727273	272.2222362	-0.045478244	22
doncart	22	0.045454545	709.4285714	184.3677226	-0.385064743	21
itine	24	0	678.2916667	121.7472361	-0.786711079	24
osiger	20	0	706.45	167.993883	-0.523648805	20
écoques	23	0.043478261	791.1363636	154.2071258	0.449752358	22
nouteintre	21	0	691.9047619	118.9562545	-0.515364879	21
seurer	22	0	773.7142857	170.5945904	-0.166145519	21
arcumais	23	0.043478261	772.3181818	255.6989276	-0.267882774	22
éplilenons	23	0.130434783	1032.9	287.6626131	1.209575225	20
rafant	24	0.083333333	831.3636364	176.446011	0.336745194	22
chalile	21	0.047619048	719.3	183.732099	-0.606453879	20
ortaient	25	0.08	907.0952381	225.8959727	0.816504504	21
voivée	24	0.041666667	833.9565217	220.1085431	0.226603347	23
consisques	24	0.041666667	900.9565217	227.7842836	0.643671785	23
apvec	24	0	693.125	131.784512	-0.820473463	24
camandre	24	0.083333333	800.1818182	312.7163078	0.059944395	22
souf	22	0.181818182	860.6111111	216.7981275	0.590743185	18
oclépe	22	0.090909091	755.7	210.35111	-0.18194226	20
réters	23	0.043478261	751.4090909	165.8713383	-0.316993901	22
orral	23	0	797	207.9051357	-0.089424793	23
laperte	19	0	736.8421053	201.7135657	-0.342415996	19
êvait	24	0	841.5	193.9018129	0.217790835	24
albuverleurs	23	0.043478261	865.5909091	228.3914057	-0.064737566	22
vrailogeait	23	0	826.1428571	260.6402282	0.244479845	21
strordre	22	0.045454545	738.3333333	167.3527213	-0.454432832	21
tétraient	23	0.173913043	942.1052632	249.0863069	0.807424848	19
detumier	22	0.045454545	770.1428571	217.5075368	-0.106272832	21
vadrit	22	0	752.3636364	153.1627039	-0.055990777	22
mablenes	24	0.041666667	772.9565217	213.088432	-0.396419726	23
hylons	21	0	816.4761905	175.0436	0.083228948	21
heugénes	19	0.052631579	855.875	245.2636337	0.215393739	16
atissé	21	0.19047619	864.4375	178.3045966	0.312773082	16
tranote	22	0.045454545	766.8095238	218.4979677	-0.225366643	21
bullée	25	0.6	1008.777778	278.1931783	1.01973796	9
digendrestige	23	0.043478261	802.6363636	201.6041726	0.06969548	22
veconscoup	23	0.043478261	694.0909091	204.7800002	-0.623455843	22
chalébe	25	0.04	727	168.4654525	-0.558327668	24
élécosent	24	0	805.5217391	225.5753995	0.06348884	23
croraient	24	0.208333333	1015.736842	344.957782	1.064574679	19
aintatadre	21	0	769.65	214.8446869	-0.235626179	20
pivrait	21	0.047619048	904.85	263.5473142	0.480994228	20
troumérir	22	0	905.0952381	231.4704959	0.363608347	21
terponéres	24	0	818.0416667	287.0159031	0.053030632	24
âparité	22	0.136363636	935	315.7666156	0.462892194	19
jeulante	22	0	750.3636364	205.50786	-0.359049157	22
larsitre	22	0.045454545	720.047619	156.1100497	-0.594390949	21
touprenraparraît	23	0	839.952381	236.9450308	0.349518479	21
dése	23	0	757	139.9769462	-0.186132994	23
mécavoument	20	0	891.25	334.0091198	0.272078716	20
sermunier	21	0	873.5714286	256.6781197	0.232204902	21
arcicha	25	0.04	751.9	148.5122359	-0.259428795	20
chrouable	23	0	861.8695652	172.7992278	0.129608406	23
penlivaient	21	0	923.3333333	307.2497898	0.230429725	21
amenu	21	0.142857143	839.3333333	266.3895864	0.290982678	18
femprégneur	24	0.083333333	795.6818182	177.6318789	0.076362852	22
laistrele	20	0	655.9	139.4556711	-0.738838304	20
porposte	24	0.083333333	751.2380952	171.262344	-0.3655003	21
chogome	22	0.090909091	657.1052632	151.0867649	-0.683370593	19
méporait	22	0.090909091	809.25	210.010996	-0.048936159	20
refrait	22	0.409090909	982.3636364	239.3045226	1.039301525	11
toncéseux	25	0.04	790	277.1146792	-0.215222461	23
pusevidé	24	0.041666667	762	255.3220782	-0.150463432	23
detars	22	0	676.0909091	146.0785533	-0.683614143	22
